Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,c30_v40,c30_v60,c30_v80,c70_v40,c70_v60,c70_v80,,,,,,,,,,
,O_pre,937.9266589,634.2787711,482.484872,974.0369813,670.6492123,519.1059558,,,,,,,,,,
,O_L,268.0331095,180.6580672,136.98014,275.9528482,188.660324,145.0610537,,,,,,,,,,
,O_mix,210.6999241,142.8596145,108.9520527,220.3277544,152.5976554,118.7978986,,,,,,,,,,
,Y_pre,702.6768186,478.7877223,366.8948626,744.2522504,520.8182972,409.3746492,,,,,,,,,,
,Y_L,16108.22953,10878.24494,8264.647143,16672.13238,11454.58507,8853.448936,,,,,,,,,,
,Y_Mix,674.1633592,459.4690762,352.1737331,714.5006145,500.2628019,393.418457,,,,,,,,,,
