, pre - eld,,,,,,latent - eld,,,,,,mixed - eld,,,,,,pre - ado,,,,,,latent - ado,,,,,,mixed - ado,,,,,
,"30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-3.003327694,-4.50035541,-5.994211761,-6.988333403,-10.45641488,-13.90680286,-1.607688996,-2.319818278,-2.974942068,-3.381440382,-4.625970031,-5.616454767,,,,,,,1.060618894,1.564735938,2.052615003,2.369263542,3.426941147,4.412656526,-1.11189473,-1.639664617,-2.149990934,-2.480974279,-3.58519544,-4.612437411,1.1653155,1.719285821,,,,
,-3.67333146,-5.483386124,-7.275997771,-8.461502122,-12.55170509,-16.55279,-1.763222577,-2.537432832,-3.245529118,-3.682739477,-5.009698829,-6.050879927,,,,,,,2.144997757,3.160752931,4.141468885,4.776762632,6.891851434,8.853545174,-2.263513095,-3.333699916,-4.365908786,-5.033992695,-7.254964441,-9.310217109,2.386795485,3.517064005,,,,
,-3.126639341,-4.667301805,-6.193058711,-7.202033614,-10.68270322,-14.08651806,-1.614002634,-2.324896076,-2.976489671,-3.379576702,-4.607383445,-5.577199538,,,,,,,7.121748596,10.51205717,13.79659507,15.93022874,23.06819252,29.73680586,-7.442778488,-10.98116393,-14.40625002,-16.62965692,-24.05929571,-30.98856927,7.778151881,11.4816628,,,,
,-4.174213018,-6.276128723,-8.387250822,-9.799564009,-14.77175076,-19.786149,-5.110474851,-7.356167107,-9.40882696,-10.67460405,-14.49800856,-17.45254794,,,,,,,1.236109101,1.820222148,2.383353404,2.747678904,3.957785577,5.075812238,-1.309387323,-1.927250493,-2.522365414,-2.907086081,-4.183200451,-5.35973706,1.385301235,2.040036246,,,,
,-2.921674549,-4.378059396,-5.831433114,-6.798667023,-10.17336485,-13.53162912,-1.368570376,-1.976084477,-2.535913069,-2.883836914,-3.952625722,-4.809209507,,,,,,,0.143997847,0.211896594,0.277253829,0.319479029,0.459357128,0.588001513,-0.153357502,-0.225577378,-0.295035177,-0.339877868,-0.488239718,-0.624415885,0.163009301,0.239896023,,,,
,-2.995661778,-4.490694419,-5.983764912,-6.978027921,-10.4507284,-13.91199844,-1.610378964,-2.323877774,-2.980361768,-3.387752038,-4.635218703,-5.628167321,,,,,,,0.215328826,0.316943789,0.414812692,0.478075513,0.68785393,0.88111757,-0.228864235,-0.336722911,-0.440513971,-0.507555695,-0.729575898,-0.933701723,0.242844843,0.357474246,,,,
,-3.14102833,-4.688803414,-6.221620012,-7.235272589,-10.73213855,-14.15188891,-1.617881954,-2.330431608,-2.983509484,-3.387496271,-4.617935995,-5.589672811,,,,,,,6.985877176,10.31145692,13.53325478,15.62611595,22.627579,29.16852605,-7.30133813,-10.77242967,-14.13234252,-16.31342322,-23.60151369,-30.39860582,7.630866774,11.26419095,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
