yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,
2018,0.013155471,0.013178182,0.013178182,0.013178182,0.013178182,0.01387001,0.01387001,0.01387001,0.01387001,0.01387001,0.014879845,0.014879845,0.014879845,0.014879845,0.014879845,0.016056519,0.016056519,0.016056519,0.016056519,0.016056519,0.017427068,0.017427068,0.017427068,0.017427068,0.017427068,0.019040366,0.019040366,0.019040366,0.019040366,0.019040366,0.020985918,0.020985918,0.020985918,0.020985918,0.020985918,0.023372677,0.023372677,0.023372677,0.023372677,0.023372677,0.026350461,0.026350461,0.026350461,0.026350461,0.026350461,0.030123204,0.030123204,0.030123204,0.030123204,0.030123204,0.03502259,0.03502259,0.03502259,0.03502259,0.03502259,0.04156276,0.04156276,0.04156276,0.04156276,0.04156276,0.050489751,0.050489751,0.050489751,0.050489751,0.050489751,0.062984191,0.062984191,0.062984191,0.062984191,0.062984191,0.080951995,0.080951995,0.080951995,0.080951995,0.080951995,0.107596299,0.107596299,0.107596299,0.107596299,0.107596299,0.149253731,0.149253731,0.149253731,0.149253731,0.149253731,0.211148649,0.211148649,0.211148649,0.211148649,0.211148649,0.317158262,0.317158262,0.317158262,0.317158262,0.317158262,0.449438202,0.449438202,0.449438202,0.449438202,0.449438202,1,
2019,0.013155471,0.013178182,0.013178182,0.013178182,0.013178182,0.01387001,0.01387001,0.01387001,0.01387001,0.01387001,0.014879845,0.014879845,0.014879845,0.014879845,0.014879845,0.016056519,0.016056519,0.016056519,0.016056519,0.016056519,0.017427068,0.017427068,0.017427068,0.017427068,0.017427068,0.019040366,0.019040366,0.019040366,0.019040366,0.019040366,0.020985918,0.020985918,0.020985918,0.020985918,0.020985918,0.023372677,0.023372677,0.023372677,0.023372677,0.023372677,0.026350461,0.026350461,0.026350461,0.026350461,0.026350461,0.030123204,0.030123204,0.030123204,0.030123204,0.030123204,0.03502259,0.03502259,0.03502259,0.03502259,0.03502259,0.04156276,0.04156276,0.04156276,0.04156276,0.04156276,0.050489751,0.050489751,0.050489751,0.050489751,0.050489751,0.062984191,0.062984191,0.062984191,0.062984191,0.062984191,0.080951995,0.080951995,0.080951995,0.080951995,0.080951995,0.107596299,0.107596299,0.107596299,0.107596299,0.107596299,0.149253731,0.149253731,0.149253731,0.149253731,0.149253731,0.211148649,0.211148649,0.211148649,0.211148649,0.211148649,0.317158262,0.317158262,0.317158262,0.317158262,0.317158262,0.449438202,0.449438202,0.449438202,0.449438202,0.449438202,1,
2020,0.013031863,0.013071895,0.013071895,0.013071895,0.013071895,0.013759322,0.013759322,0.013759322,0.013759322,0.013759322,0.014755792,0.014755792,0.014755792,0.014755792,0.014755792,0.015914444,0.015914444,0.015914444,0.015914444,0.015914444,0.017263405,0.017263405,0.017263405,0.017263405,0.017263405,0.018850852,0.018850852,0.018850852,0.018850852,0.018850852,0.020762395,0.020762395,0.020762395,0.020762395,0.020762395,0.023103759,0.023103759,0.023103759,0.023103759,0.023103759,0.026021337,0.026021337,0.026021337,0.026021337,0.026021337,0.02971415,0.02971415,0.02971415,0.02971415,0.02971415,0.034505366,0.034505366,0.034505366,0.034505366,0.034505366,0.040891433,0.040891433,0.040891433,0.040891433,0.040891433,0.049603175,0.049603175,0.049603175,0.049603175,0.049603175,0.061812338,0.061812338,0.061812338,0.061812338,0.061812338,0.079358781,0.079358781,0.079358781,0.079358781,0.079358781,0.105429626,0.105429626,0.105429626,0.105429626,0.105429626,0.146348602,0.146348602,0.146348602,0.146348602,0.146348602,0.20746888,0.20746888,0.20746888,0.20746888,0.20746888,0.312207306,0.312207306,0.312207306,0.312207306,0.312207306,0.443852641,0.443852641,0.443852641,0.443852641,0.443852641,1,
2021,0.013031863,0.013071895,0.013071895,0.013071895,0.013071895,0.013759322,0.013759322,0.013759322,0.013759322,0.013759322,0.014755792,0.014755792,0.014755792,0.014755792,0.014755792,0.015914444,0.015914444,0.015914444,0.015914444,0.015914444,0.017263405,0.017263405,0.017263405,0.017263405,0.017263405,0.018850852,0.018850852,0.018850852,0.018850852,0.018850852,0.020762395,0.020762395,0.020762395,0.020762395,0.020762395,0.023103759,0.023103759,0.023103759,0.023103759,0.023103759,0.026021337,0.026021337,0.026021337,0.026021337,0.026021337,0.02971415,0.02971415,0.02971415,0.02971415,0.02971415,0.034505366,0.034505366,0.034505366,0.034505366,0.034505366,0.040891433,0.040891433,0.040891433,0.040891433,0.040891433,0.049603175,0.049603175,0.049603175,0.049603175,0.049603175,0.061812338,0.061812338,0.061812338,0.061812338,0.061812338,0.079358781,0.079358781,0.079358781,0.079358781,0.079358781,0.105429626,0.105429626,0.105429626,0.105429626,0.105429626,0.146348602,0.146348602,0.146348602,0.146348602,0.146348602,0.20746888,0.20746888,0.20746888,0.20746888,0.20746888,0.312207306,0.312207306,0.312207306,0.312207306,0.312207306,0.443852641,0.443852641,0.443852641,0.443852641,0.443852641,1,
2022,0.013031863,0.013071895,0.013071895,0.013071895,0.013071895,0.013759322,0.013759322,0.013759322,0.013759322,0.013759322,0.014755792,0.014755792,0.014755792,0.014755792,0.014755792,0.015914444,0.015914444,0.015914444,0.015914444,0.015914444,0.017263405,0.017263405,0.017263405,0.017263405,0.017263405,0.018850852,0.018850852,0.018850852,0.018850852,0.018850852,0.020762395,0.020762395,0.020762395,0.020762395,0.020762395,0.023103759,0.023103759,0.023103759,0.023103759,0.023103759,0.026021337,0.026021337,0.026021337,0.026021337,0.026021337,0.02971415,0.02971415,0.02971415,0.02971415,0.02971415,0.034505366,0.034505366,0.034505366,0.034505366,0.034505366,0.040891433,0.040891433,0.040891433,0.040891433,0.040891433,0.049603175,0.049603175,0.049603175,0.049603175,0.049603175,0.061812338,0.061812338,0.061812338,0.061812338,0.061812338,0.079358781,0.079358781,0.079358781,0.079358781,0.079358781,0.105429626,0.105429626,0.105429626,0.105429626,0.105429626,0.146348602,0.146348602,0.146348602,0.146348602,0.146348602,0.20746888,0.20746888,0.20746888,0.20746888,0.20746888,0.312207306,0.312207306,0.312207306,0.312207306,0.312207306,0.443852641,0.443852641,0.443852641,0.443852641,0.443852641,1,
2023,0.013031863,0.013071895,0.013071895,0.013071895,0.013071895,0.013759322,0.013759322,0.013759322,0.013759322,0.013759322,0.014755792,0.014755792,0.014755792,0.014755792,0.014755792,0.015914444,0.015914444,0.015914444,0.015914444,0.015914444,0.017263405,0.017263405,0.017263405,0.017263405,0.017263405,0.018850852,0.018850852,0.018850852,0.018850852,0.018850852,0.020762395,0.020762395,0.020762395,0.020762395,0.020762395,0.023103759,0.023103759,0.023103759,0.023103759,0.023103759,0.026021337,0.026021337,0.026021337,0.026021337,0.026021337,0.02971415,0.02971415,0.02971415,0.02971415,0.02971415,0.034505366,0.034505366,0.034505366,0.034505366,0.034505366,0.040891433,0.040891433,0.040891433,0.040891433,0.040891433,0.049603175,0.049603175,0.049603175,0.049603175,0.049603175,0.061812338,0.061812338,0.061812338,0.061812338,0.061812338,0.079358781,0.079358781,0.079358781,0.079358781,0.079358781,0.105429626,0.105429626,0.105429626,0.105429626,0.105429626,0.146348602,0.146348602,0.146348602,0.146348602,0.146348602,0.20746888,0.20746888,0.20746888,0.20746888,0.20746888,0.312207306,0.312207306,0.312207306,0.312207306,0.312207306,0.443852641,0.443852641,0.443852641,0.443852641,0.443852641,1,
2024,0.013031863,0.013071895,0.013071895,0.013071895,0.013071895,0.013759322,0.013759322,0.013759322,0.013759322,0.013759322,0.014755792,0.014755792,0.014755792,0.014755792,0.014755792,0.015914444,0.015914444,0.015914444,0.015914444,0.015914444,0.017263405,0.017263405,0.017263405,0.017263405,0.017263405,0.018850852,0.018850852,0.018850852,0.018850852,0.018850852,0.020762395,0.020762395,0.020762395,0.020762395,0.020762395,0.023103759,0.023103759,0.023103759,0.023103759,0.023103759,0.026021337,0.026021337,0.026021337,0.026021337,0.026021337,0.02971415,0.02971415,0.02971415,0.02971415,0.02971415,0.034505366,0.034505366,0.034505366,0.034505366,0.034505366,0.040891433,0.040891433,0.040891433,0.040891433,0.040891433,0.049603175,0.049603175,0.049603175,0.049603175,0.049603175,0.061812338,0.061812338,0.061812338,0.061812338,0.061812338,0.079358781,0.079358781,0.079358781,0.079358781,0.079358781,0.105429626,0.105429626,0.105429626,0.105429626,0.105429626,0.146348602,0.146348602,0.146348602,0.146348602,0.146348602,0.20746888,0.20746888,0.20746888,0.20746888,0.20746888,0.312207306,0.312207306,0.312207306,0.312207306,0.312207306,0.443852641,0.443852641,0.443852641,0.443852641,0.443852641,1,
2025,0.012915391,0.012970505,0.012970505,0.012970505,0.012970505,0.013652809,0.013652809,0.013652809,0.013652809,0.013652809,0.014635931,0.014635931,0.014635931,0.014635931,0.014635931,0.01577735,0.01577735,0.01577735,0.01577735,0.01577735,0.017105421,0.017105421,0.017105421,0.017105421,0.017105421,0.018667861,0.018667861,0.018667861,0.018667861,0.018667861,0.020546116,0.020546116,0.020546116,0.020546116,0.020546116,0.022843567,0.022843567,0.022843567,0.022843567,0.022843567,0.025702316,0.025702316,0.025702316,0.025702316,0.025702316,0.029317775,0.029317775,0.029317775,0.029317775,0.029317775,0.034000884,0.034000884,0.034000884,0.034000884,0.034000884,0.04023821,0.04023821,0.04023821,0.04023821,0.04023821,0.048740069,0.048740069,0.048740069,0.048740069,0.048740069,0.060661207,0.060661207,0.060661207,0.060661207,0.060661207,0.077808901,0.077808901,0.077808901,0.077808901,0.077808901,0.103295114,0.103295114,0.103295114,0.103295114,0.103295114,0.143389733,0.143389733,0.143389733,0.143389733,0.143389733,0.203707476,0.203707476,0.203707476,0.203707476,0.203707476,0.307219662,0.307219662,0.307219662,0.307219662,0.307219662,0.438404209,0.438404209,0.438404209,0.438404209,0.438404209,1,
2026,0.012915391,0.012970505,0.012970505,0.012970505,0.012970505,0.013652809,0.013652809,0.013652809,0.013652809,0.013652809,0.014635931,0.014635931,0.014635931,0.014635931,0.014635931,0.01577735,0.01577735,0.01577735,0.01577735,0.01577735,0.017105421,0.017105421,0.017105421,0.017105421,0.017105421,0.018667861,0.018667861,0.018667861,0.018667861,0.018667861,0.020546116,0.020546116,0.020546116,0.020546116,0.020546116,0.022843567,0.022843567,0.022843567,0.022843567,0.022843567,0.025702316,0.025702316,0.025702316,0.025702316,0.025702316,0.029317775,0.029317775,0.029317775,0.029317775,0.029317775,0.034000884,0.034000884,0.034000884,0.034000884,0.034000884,0.04023821,0.04023821,0.04023821,0.04023821,0.04023821,0.048740069,0.048740069,0.048740069,0.048740069,0.048740069,0.060661207,0.060661207,0.060661207,0.060661207,0.060661207,0.077808901,0.077808901,0.077808901,0.077808901,0.077808901,0.103295114,0.103295114,0.103295114,0.103295114,0.103295114,0.143389733,0.143389733,0.143389733,0.143389733,0.143389733,0.203707476,0.203707476,0.203707476,0.203707476,0.203707476,0.307219662,0.307219662,0.307219662,0.307219662,0.307219662,0.438404209,0.438404209,0.438404209,0.438404209,0.438404209,1,
2027,0.012915391,0.012970505,0.012970505,0.012970505,0.012970505,0.013652809,0.013652809,0.013652809,0.013652809,0.013652809,0.014635931,0.014635931,0.014635931,0.014635931,0.014635931,0.01577735,0.01577735,0.01577735,0.01577735,0.01577735,0.017105421,0.017105421,0.017105421,0.017105421,0.017105421,0.018667861,0.018667861,0.018667861,0.018667861,0.018667861,0.020546116,0.020546116,0.020546116,0.020546116,0.020546116,0.022843567,0.022843567,0.022843567,0.022843567,0.022843567,0.025702316,0.025702316,0.025702316,0.025702316,0.025702316,0.029317775,0.029317775,0.029317775,0.029317775,0.029317775,0.034000884,0.034000884,0.034000884,0.034000884,0.034000884,0.04023821,0.04023821,0.04023821,0.04023821,0.04023821,0.048740069,0.048740069,0.048740069,0.048740069,0.048740069,0.060661207,0.060661207,0.060661207,0.060661207,0.060661207,0.077808901,0.077808901,0.077808901,0.077808901,0.077808901,0.103295114,0.103295114,0.103295114,0.103295114,0.103295114,0.143389733,0.143389733,0.143389733,0.143389733,0.143389733,0.203707476,0.203707476,0.203707476,0.203707476,0.203707476,0.307219662,0.307219662,0.307219662,0.307219662,0.307219662,0.438404209,0.438404209,0.438404209,0.438404209,0.438404209,1,
