,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,5.03897E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,5.13989E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,4.08312E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,2.52614E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.53E-15,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,1.21716E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.53E-15,1.21716E-13,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,4.56736E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.52614E-15,1.21716E-13,4.56736E-12,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,1.33478E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.52614E-15,1.21716E-13,4.56736E-12,1.33478E-10,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,3.03794E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03897E-21,5.13989E-19,4.08312E-17,2.52614E-15,1.21716E-13,4.56736E-12,1.33478E-10,3.03794E-09,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,5.38488E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
