,05-Sep,Oct-19,20-29,30-39,40-49,50-59,60-69,70above
QFN,2.95,2.71,8.55,14.34,18.83,25.85,30.8,32.38
TST >10mm,8.84,13.07,28.23,31.71,31.9,31.26,32.74,31.42
