Country,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Mozambique,2005-2010,0.088025,0.014526857,0.014740997,0.014961545,0.015188793,0.00547726,0.005507425,0.005537925,0.005568764,0.005599949,0.003100912,0.003110557,0.003120263,0.00313003,0.003139858,0.003455499,0.003467481,0.003479546,0.003491695,0.00350393,0.006708869,0.006754182,0.006800111,0.006846669,0.006893869,0.01223373,0.012385248,0.012540566,0.012699829,0.012863189,0.01730365,0.017608339,0.01792395,0.018251081,0.018590376,0.018841892,0.019203727,0.01957973,0.019970752,0.020377711,0.017197168,0.017498086,0.017809722,0.01813266,0.018467525,0.015026995,0.015256251,0.01549261,0.015736408,0.015988001,0.014507895,0.014721473,0.014941432,0.015168065,0.015401679,0.016794508,0.017081382,0.017378226,0.01768557,0.01800398,0.022834123,0.023367704,0.023926819,0.024513345,0.02512935,0.033777541,0.034958348,0.036224704,0.037586255,0.039054154,0.050962267,0.053698884,0.056746085,0.060159925,0.064010811,0.074749331,0.080788194,0.087888552,0.096357251,0.106632019,0.103474897,0.115417735,0.130477107,0.150055977,0.17654807
R_union,2005-2010,0.00595,7.49E-05,7.50E-05,7.50E-05,7.50E-05,3.20E-05,3.20E-05,3.20E-05,3.20E-05,3.20E-05,0.000112491,0.000112503,0.000112516,0.000112529,0.000112541,0.000390169,0.000390322,0.000390474,0.000390627,0.000390779,0.000725069,0.000725595,0.000726122,0.000726649,0.000727178,0.000949958,0.000950861,0.000951766,0.000952673,0.000953581,0.001558032,0.001560463,0.001562902,0.001565348,0.001567802,0.002904317,0.002912776,0.002921285,0.002929844,0.002938453,0.003990875,0.004006866,0.004022985,0.004039235,0.004055617,0.004351741,0.004370762,0.004389949,0.004409306,0.004428834,0.005612092,0.005643766,0.005675799,0.005708197,0.005740968,0.009018514,0.009100588,0.009184169,0.0092693,0.009356024,0.013326648,0.013506647,0.013691574,0.013881635,0.014077048,0.016071396,0.016333905,0.016605131,0.016885517,0.017175535,0.024119688,0.024715826,0.025342178,0.026001103,0.026695208,0.037049759,0.038475258,0.04001484,0.041682769,0.043495794,0.055279139,0.058513728,0.062150378,0.066269023,0.070972287
Rwanda,2005-2010,0.100145,0.007831078,0.007892888,0.007955681,0.008019482,0.006359899,0.006400606,0.006441838,0.006483604,0.006525915,0.004284296,0.004302731,0.004321324,0.004340079,0.004358997,0.003749191,0.0037633,0.003777516,0.00379184,0.003806273,0.00447701,0.004497143,0.004517459,0.004537959,0.004558646,0.005848165,0.005882568,0.005917377,0.005952601,0.005988246,0.00732547,0.007379529,0.007434391,0.007490075,0.0075466,0.008825458,0.008904041,0.008984035,0.009065479,0.009148414,0.010090924,0.010193789,0.010298772,0.01040594,0.010515363,0.011221541,0.011348894,0.011479169,0.011612471,0.011748905,0.012996666,0.013167803,0.013343508,0.013523965,0.01370937,0.016422778,0.016696989,0.016980512,0.017273831,0.017577461,0.022648879,0.023173738,0.0237235,0.024299981,0.024905176,0.03321465,0.034355765,0.035578077,0.036890572,0.038303615,0.049619886,0.052210569,0.055086675,0.058298125,0.061907199,0.071972034,0.077553734,0.084073985,0.09179124,0.101068438,0.099115875,0.110020669,0.123621601,0.141059616,0.164225153
Somalia,2005-2010,0.106673,0.018892816,0.019256628,0.019634726,0.02002797,0.007643978,0.007702858,0.007762653,0.007823383,0.007885071,0.003517935,0.003530355,0.003542862,0.003555459,0.003568145,0.004340464,0.004359386,0.004378473,0.004397729,0.004417154,0.005610452,0.005642107,0.005674121,0.0057065,0.005739252,0.006355167,0.006395813,0.006436983,0.006478686,0.006520933,0.00694265,0.006991188,0.007040409,0.007090327,0.007140959,0.007901822,0.007964758,0.008028704,0.008093686,0.008159729,0.009139343,0.009223641,0.009309508,0.009396989,0.009486131,0.010852114,0.010971175,0.011092877,0.011217309,0.011344565,0.013679119,0.013868833,0.014063882,0.014264496,0.014470917,0.018282725,0.018623208,0.018976613,0.019343691,0.01972525,0.025929137,0.026619354,0.027347322,0.028116226,0.028929617,0.038148175,0.039661177,0.04129915,0.043078244,0.04501752,0.056491165,0.059873488,0.063686628,0.068018497,0.072982669,0.081152397,0.088319757,0.096875804,0.107267422,0.120156276,0.109917953,0.123491933,0.140890812,0.163996398,0.196167095
Uganda,2005-2010,0.079164,0.012801973,0.012967989,0.013138367,0.013313282,0.004825129,0.004848524,0.004872146,0.004896,0.004920089,0.003364904,0.003376265,0.003387703,0.003399218,0.003410812,0.003560992,0.003573718,0.003586535,0.003599445,0.003612447,0.005036916,0.005062415,0.005088173,0.005114195,0.005140485,0.007568483,0.007626201,0.007684807,0.007744321,0.007804764,0.010488207,0.010599375,0.010712926,0.010828935,0.010947485,0.013552608,0.013738804,0.013930188,0.01412698,0.014329411,0.015540209,0.015785519,0.016038698,0.016300131,0.016570228,0.015577518,0.015824017,0.016078442,0.016341183,0.016612653,0.01526391,0.015500508,0.015744557,0.015996413,0.016256458,0.016889563,0.017179721,0.017480023,0.017791011,0.018113264,0.022223789,0.022728911,0.023257529,0.023811322,0.024392131,0.032505863,0.033597994,0.034766064,0.036018278,0.037364068,0.049320923,0.051879676,0.054718452,0.057885877,0.061442532,0.072812363,0.078530343,0.085222929,0.093162511,0.102733414,0.101483391,0.112945482,0.127326426,0.145903841,0.170828354
Tanzania,2005-2010,0.064454,0.009769701,0.00986609,0.0099644,0.010064688,0.00363053,0.003643759,0.003657085,0.003670508,0.00368403,0.002670658,0.00267781,0.002685,0.002692228,0.002699496,0.002843074,0.00285118,0.002859333,0.002867532,0.002875779,0.004274145,0.004292492,0.004310997,0.004329662,0.004348489,0.006957459,0.007006205,0.007055638,0.007105774,0.007156627,0.010485598,0.010596711,0.010710204,0.010826154,0.010944642,0.013591417,0.013778689,0.013971194,0.014169154,0.014372804,0.014556488,0.014771509,0.014992978,0.015221189,0.015456454,0.013724741,0.013915731,0.014112112,0.014314114,0.014521983,0.013167189,0.013342877,0.013523317,0.013708705,0.013899245,0.014723088,0.014943097,0.015169781,0.015403447,0.015644426,0.019775881,0.020174856,0.020590262,0.021023134,0.021474597,0.029485284,0.030381078,0.031333009,0.032346523,0.033427796,0.045452839,0.047617174,0.049997935,0.05262929,0.055553006,0.068314625,0.073323707,0.07912548,0.08592428,0.094001272,0.096962236,0.107373402,0.12028927,0.136737299,0.158395931
Zambia,2005-2010,0.094908,0.016768552,0.017054532,0.017350436,0.017656789,0.006045041,0.006081806,0.006119021,0.006156694,0.006194833,0.004262599,0.004280846,0.004299251,0.004317814,0.004336538,0.004184322,0.004201904,0.004219635,0.004237516,0.004255549,0.00624983,0.006289136,0.006328939,0.00636925,0.006410077,0.010571999,0.010684961,0.010800362,0.010918283,0.011038808,0.015471199,0.015714319,0.015965201,0.016224224,0.01649179,0.019521911,0.019910604,0.02031509,0.020736351,0.021175453,0.021113852,0.021569262,0.022044751,0.022541677,0.023061522,0.019752869,0.020150907,0.020565317,0.02099713,0.021447465,0.017899385,0.018225613,0.018563952,0.018915091,0.019279769,0.018720245,0.019077378,0.019448402,0.019834145,0.020235498,0.0239673,0.024555837,0.025174006,0.025824102,0.026508665,0.034670328,0.035915531,0.037253511,0.038695037,0.040252613,0.051991293,0.054842632,0.058024869,0.061599152,0.065642685,0.075921851,0.082159557,0.089513986,0.09831451,0.109034149,0.104627,0.116852976,0.132314295,0.152491039,0.179928527
Zimbabwe,2005-2010,0.059284,0.009352884,0.009441186,0.009531172,0.009622889,0.004055725,0.004072241,0.004088892,0.00410568,0.004122606,0.003696987,0.003710706,0.003724527,0.00373845,0.003752479,0.002977379,0.00298627,0.002995215,0.003004213,0.003013265,0.004698845,0.004721028,0.004743422,0.004766029,0.004788853,0.012845201,0.013012348,0.013183901,0.013360039,0.013540946,0.025948832,0.026640112,0.027369231,0.028139384,0.028954136,0.036586887,0.037976323,0.039475455,0.04109781,0.042859231,0.037753072,0.039234287,0.040836477,0.042575094,0.044468337,0.029993478,0.030920904,0.031907513,0.032959158,0.034082488,0.020893647,0.021339507,0.021804811,0.022290859,0.02279907,0.016723994,0.017008443,0.017302735,0.017607391,0.017922968,0.018820777,0.019181794,0.019556931,0.019947034,0.020353016,0.026904056,0.027647896,0.028434038,0.029266194,0.030148526,0.041895292,0.043727258,0.045726764,0.047917895,0.050329582,0.064035742,0.068416866,0.073441504,0.079262674,0.086086088,0.092494003,0.101921093,0.113487904,0.128016194,0.146810288
Middle Africa,2005-2010,0.11044676,0.019821531,0.02022237,0.020639755,0.021074732,0.00759008,0.00764813,0.007707075,0.007766935,0.007827733,0.003979589,0.003995489,0.004011517,0.004027674,0.004043962,0.004145198,0.004162452,0.00417985,0.004197395,0.004215087,0.005824197,0.005858317,0.005892839,0.005927771,0.005963119,0.007607551,0.00766587,0.007725089,0.007785231,0.007846316,0.009499327,0.00959043,0.009683297,0.00977798,0.009874533,0.01102695,0.0111499,0.011275622,0.011404211,0.011535768,0.011878268,0.012021057,0.012167321,0.012317188,0.012470793,0.012645752,0.012807715,0.012973881,0.013144415,0.013319492,0.014421158,0.01463217,0.01484945,0.01507328,0.015303961,0.018329493,0.018671737,0.019027004,0.019396053,0.019779701,0.025665501,0.02634157,0.027054221,0.027806504,0.028601821,0.037813352,0.039299394,0.040907015,0.042651771,0.044551993,0.056219207,0.059568077,0.06334119,0.067624614,0.072529385,0.081009489,0.088150517,0.096672224,0.10701788,0.119843251,0.109973494,0.123562044,0.140982077,0.164120065,0.196344066
Angola,2005-2010,0.104297,0.018461209,0.018808435,0.019168974,0.019543604,0.007343997,0.00739833,0.007453474,0.007509445,0.007566264,0.003971625,0.003987462,0.004003426,0.004019517,0.004035739,0.004108497,0.004125447,0.004142536,0.004159768,0.004177144,0.005719513,0.005752414,0.005785696,0.005819365,0.005853428,0.007241673,0.007294498,0.007348098,0.007402492,0.007457698,0.008784921,0.00886278,0.008942031,0.009022713,0.009104863,0.010156945,0.010261167,0.01036755,0.010476162,0.010587074,0.011060768,0.011184477,0.011310984,0.011440386,0.011572784,0.012011094,0.012157114,0.012306729,0.012460071,0.012617284,0.014020458,0.014219826,0.014424947,0.014636071,0.014853468,0.01808525,0.01841835,0.018763951,0.01912277,0.01949558,0.025496937,0.02616404,0.026866989,0.027608753,0.028392639,0.037586969,0.039054926,0.040642204,0.042363969,0.044238069,0.055768198,0.059061978,0.062769255,0.066973107,0.071780468,0.080272922,0.087279067,0.095625141,0.105736177,0.118238237,0.108980524,0.122309924,0.139354343,0.161918371,0.193201193
