,Afghanistan,Bangladesh,Brazil,Cambodia,China,Congo DR,Ethiopia,India,Indonesia,Kenya,Mozambique,Myanmar,Nigeria,Pakistan,Philippines,Russia,South Africa,Thailand,Uganda,Tanzania,Viet Nam,Zimbabwe
2001CDR,0.464318449,0.453663717,0.893132219,0.645081683,0.880640361,0.51332358,0.704448277,0.590041124,0.683679237,0.81684935,0.341185214,0.728623227,0.426361576,0.644966826,0.705981712,0.798836076,0.70385554,0.756183995,0.654753406,0.763572611,0.55105018,0.527554767
2025CDR,0.732159224,0.726831858,0.94656611,0.822540842,0.94032018,0.75666179,0.852224138,0.795020562,0.841839619,0.908424675,0.670592607,0.864311614,0.713180788,0.822483413,0.852990856,0.899418038,0.85192777,0.878091998,0.827376703,0.881786306,0.77552509,0.763777384
