Para,Value
rmort,0
rmortTB,0
alpha,0
v,0.000113
r,0.01
w,0.015
pchild,0.02
z,0.1
fchild,0.1
padult,0.15
vH,0.17
n,0.2
nH,0.2
uni,0.21
fH,0.3
x,0.35
rH,0.4
pH,0.405
fadult,0.5
ui,0.6
e,0.6
effH,0.6
uiH,0.8
uniH,0.8
effHa,0.8
xH,1
LEHIV,5
LEART,10
psz1900,30000
