,Afghanistan ,Bangladesh ,Brazil ,Cambodia ,China ,Congo DR,Ethiopia ,India ,Indonesia ,Kenya ,Mozambique ,Myanmar ,Nigeria ,Pakistan ,Philippines ,Russia,South Africa,Thailand ,Uganda ,Tanzania,Viet Nam,Zimbabwe 
HIVI2009,0,0.005,0.013404972,0.05,0.007685465,0.155,0.061882346,0.03,0.02,0.53,1.19,0.06,0.38,0.01,0.005,0.1,1.49,0.13,0.74,0.45,0.04,1.43
ART2009,0,0.186645752,0.728708175,0.960027756,0.186645752,0.082452439,0.368924985,0.161018539,0.056523751,0.263775552,0.135427538,0.128013195,0.11093706,0.014464133,0.182139192,0.100609812,0.198852079,0.437929456,0.204550202,0.168241761,0.182139192,0.238994801
ART2025,0,0.593322876,0.864354088,0.980013878,0.593322876,0.54122622,0.684462492,0.58050927,0.528261876,0.631887776,0.567713769,0.564006597,0.55546853,0.507232067,0.591069596,0.550304906,0.599426039,0.718964728,0.602275101,0.58412088,0.591069596,0.6194974
