,Afghanistan,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belarus,Benin,Bhutan,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Congo,Congo DR,Costa Rica,Cote dIvoire,Cuba,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,Fiji,Gabon,Gambia,Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Jamaica,Kazakhstan,Kenya,"Korea, DPR",Kyrgyzstan,Lao PDR,Lebanon,Lesotho,Liberia,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Senegal,Serbia,Sierra Leone,Somalia,South Africa,Sri Lanka,Sudan,Swaziland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Yemen,Zambia,Zimbabwe
HIVI2009,0,0.01,0.21,0.05,0.01,0.01,0.005,0.03,0.1,0.02,0.02,1.56,0.013404972,0.01,0.12,0.33,0.05,0.53,0.17,0.34,0.04,0.01,0.05,0.28,0.155,0.03,0.11,0.01,0.25,0.09,0.04,0.005,0.08,0.08,0.061882346,0.01,0.43,0.2,0.01,0.15,0,0.08,0.1,0.21,0.12,0.15,0.08,0.03,0.02,0.02,0,0.13,0.01,0.53,0,0.03,0.02,0.01,2.58,0.15,0.02,0.95,0.05,0.005,0.1,0.07,0.1,0.03,0.04,0.01,1.19,0.06,0.43,0.04,0.02,0.08,0.38,0.01,0.09,0.09,0.03,0.04,0.005,0.01,0.1,0.18,0,0,0.09,0.01,0.14,0.07,1.49,0.005,0.11,2.66,0.02,0.45,0.13,0.27,0.005,0.005,0.74,0.11,0.05,0.01,0,0,0.04,0,1.17,0.84
ART2009,0,0.074309324,0.124519703,0.422856743,0.110259424,0.044152551,0.186645752,0.116740833,0.320128595,0.114048202,0.114048202,0.545007786,0.728708175,0.089952523,0.295542035,0.127416051,0.982493371,0.154274485,0.148883916,0.19320898,0.349897487,0.186645752,0.132675377,0.122981356,0.087016166,0.397096787,0.231534292,0.820814312,0.079745827,0.299987929,0.184145406,0.017163579,0.330227476,0.242606547,0.368924985,0.1134044,0.253548768,0.057173364,0.290870787,0.141577052,0,0.198000686,0.254226139,0.157965649,0.603979096,0.27267206,0.233581668,0.165518374,0.057693085,0.016424518,0,0.302622535,0.118168774,0.278132087,0,0.026062989,0.208259784,0.152938889,0.239389815,0.109333008,0.011400013,0.279913025,0.134752541,0.032364031,0.313311166,0.118303752,0.090005025,0.338506151,0.128288233,0.152397441,0.141775086,0.129991495,0.464262508,0.053815334,0.177281959,0.127011972,0.116669558,0.014994414,0.270764326,0.222677737,0.212171391,0.24051757,0.182139192,0.657986107,0.100449417,0.529856955,0,0,0.234608615,0.163316102,0.083162978,0.019894112,0.201683875,0.038090138,0.016891121,0.307982459,0.045607579,0.178652372,0.443110701,0.178452308,0.139029376,0.050131516,0.218080906,0.061651659,0.309457439,0.114291429,0,0,0.186102242,0,0.368022769,0.244359599
ART2025,0,0.537154662,0.562259852,0.711428371,0.555129712,0.522076276,0.593322876,0.558370416,0.660064298,0.557024101,0.557024101,0.772503893,0.864354088,0.544976262,0.647771018,0.563708026,0.991246686,0.577137242,0.574441958,0.59660449,0.674948744,0.593322876,0.566337688,0.561490678,0.543508083,0.698548394,0.615767146,0.910407156,0.539872913,0.649993964,0.592072703,0.508581789,0.665113738,0.621303274,0.684462492,0.5567022,0.626774384,0.528586682,0.645435394,0.570788526,0,0.599000343,0.627113069,0.578982825,0.801989548,0.63633603,0.616790834,0.582759187,0.528846542,0.508212259,0,0.651311268,0.559084387,0.639066044,0,0.513031495,0.604129892,0.576469445,0.619694907,0.554666504,0.505700007,0.639956512,0.56737627,0.516182015,0.656655583,0.559151876,0.545002512,0.669253076,0.564144117,0.576198721,0.570887543,0.564995748,0.732131254,0.526907667,0.58864098,0.563505986,0.558334779,0.507497207,0.635382163,0.611338868,0.606085696,0.620258785,0.591069596,0.828993053,0.550224708,0.764928478,0,0,0.617304307,0.581658051,0.541581489,0.509947056,0.600841937,0.519045069,0.508445561,0.653991229,0.52280379,0.589326186,0.72155535,0.589226154,0.569514688,0.525065758,0.609040453,0.53082583,0.654728719,0.557145715,0,0,0.593051121,0,0.684011384,0.6221798
