"PSIZE","S","Births","I","NI","L","R","new_I","new_NI","new_I_react","new_NI_react","Sv","Lv","Rv","TBItot","TBI0-14","TBI15-54","TBI55-64","TBI65+","TBI55+","TBI<55","TBNtot","TBN0-14","TBN15-54","TBN55-64","TBN65+","TBN55+","TBN<55","TBMtot","TBM0-14","TBM15-54","TBM55-64","TBM65+","TBM15-59","TBM60+","TBM55+","TBM<55","TBPtot","TBP0-14","TBP15-29","TBP30-44","TBP45-59","TBP60+","TBP55+","TBPbtot","TBPb0-14","TBPb15-29","TBPb30-44","TBPb45-59","TBPb60+","TBPb55+","TBPItot","TBPI0-14","TBPI15-54","TBPI55-64","TBPI65+","TBPI55+","TBPI5-9","TBPI10-19","TBPI20-29","TBPI30-39","TBPI40-49","TBPI50-59","TBPI60-69","TBPI70+","YearPsizetot","YearPsize0-14","YearPsize15-54","YearPsize55-64","YearPsize65+","YearPsize15-59","YearPsize15-29","YearPsize30-44","YearPsize45-59","YearPsize60+","YearPsize55+","YearPsize5-9","YearPsize10-19","YearPsize20-29","YearPsize30-39","YearPsize40-49","YearPsize50-59","YearPsize60-69","YearPsize70+","YearPsize55-74","YearPsize75+","YearPsize15-24","YearPsize25-54","TBI15-24","TBI25-54","TBM15-24","TBM25-54","TBPb15+","YearPsize15plus","timestep","year","type","vxint","fit"
1267142,114042.78,4400.97511467781,25342.84,25342.84,1013713.6,88699.94,0,0,0,0,0,0,0,17992.0298634046,113.296016114353,30670.8299961882,20879.4421567509,11170.6361972219,17049.5116297205,18107.0985267548,11554.3818380403,72.276146094261,20103.8965349174,9991.63071336822,7443.44264043203,8986.42128495499,11867.8949116545,7800.65199504962,281.092135628633,11973.8006494701,11996.2902170008,14531.1101366088,11974.6206613897,13514.8724857549,12996.2261752535,7166.34301843039,0,0,0,0,0,0,0,2217.72917104638,1779.45009543724,2778.96695713815,2779.88336194539,2749.85636801878,116.627880914997,983.241690881445,73.6031396228286,80.2658777258112,67.6296934595322,74.1664682640793,82.6329821202994,77.4236287547856,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1001426.36894925,366938.316475933,525529.82498221,65976.3774697103,42981.8500213961,562498.924779279,244232.601720322,188067.582682509,130198.740376448,71989.1276940374,108958.227491106,43176.9925880128,72510.1694186585,53867.6556435816,46433.9062689004,37984.5540333048,27740.7046890611,17484.4968351283,7207.00906866717,34759.8927782167,2954.36572019453,61293.2107090388,124184.511147968,86650.7612491669,87026.412977823,33828.4926709338,33974.7074046299,7025.09134201097,223191.980355418,1900,1900,1,1,1
735710.7378985,72162.945616165,2821.39841195613,19075.0094214761,-6594.44442795444,494443.812952351,156623.414336462,128333.910905852,51972.3607728874,127552.264662038,51551.4462206276,0,0,0,40051.8583465315,236.336804596992,73452.5163109277,59924.4069306154,56845.7768138804,58926.0632698567,38274.4764198729,25679.4566480031,146.324421776797,48146.7341817569,29691.2479817038,36816.8605333091,32001.954318671,25084.0676958943,18076.2822985148,446.077313856486,23075.5275701627,28521.7366897508,188646.946794623,23376.5171444382,111811.336575819,80447.425185707,12202.7982199492,0,0,0,0,0,0,0,2145.20745402317,848.641980217266,5968.33352789633,6291.85268660404,6329.76161890433,-25011.0719811903,-13333.7018467642,54.964932472353,74.5211831013612,32.0174100296495,50.0801423088201,-12.5516575932998,273.170364324372,81.0923138216978,63.926225073924,30.3175188161234,30.2714668961556,30.158299702102,38.3123431354653,164.261903333692,-5.60874091593625,364365.448221092,159998.900805246,173007.380342081,21189.9604891273,10169.2065846378,184717.921074609,81979.7399134407,60664.5149691755,42073.6661919933,19648.6263412369,31359.1670737651,48554.7499484898,75157.5629298973,50019.3890331395,42411.5040993823,34829.3764548962,25497.3006068903,14795.8236810738,4852.80266016313,29482.2975844271,1876.86948933802,58813.7807594695,114193.599582612,69091.9651073557,75698.355862485,22322.258999013,23463.4877777272,3160.29066237653,204366.547415846,1900.5,1901,1,1,1
474955.647482916,60755.4649706498,15616,-1200.59430342493,28268.6621669152,260006.154734008,127125.959914768,66740.9666160652,27514.5746159434,66206.9177300792,27174.52473763,0,0,0,34797.6255756269,-538.098592140333,46752.1046221561,41233.1627702152,-5253.77234158122,-18112.9506408371,23890.8089370545,22441.0671517908,-294.910445137338,30708.0629397463,20614.6834692043,-3493.06292644413,-10161.7281879709,15720.431390409,74930.2348626218,233.254696811659,-33250.1058522055,-18257.1801808966,-294837.102024581,-32972.1592931357,-325495.795146731,-371344.415755395,-17063.3916066948,0,0,0,0,0,0,0,-5046.83359981045,404.883518978933,34929.1255309039,41360.6260661192,43049.9026378111,107169.50876544,116708.398929837,136.174179393461,67.3568464881826,5.99121376865892,11.9896805578402,2.89268376653648,5.49816417283284,80.4583476709769,57.0894842137912,0.265823198707932,0.941021983144455,1.03549164796614,5.34384355156564,6.86903528710882,2.51973653279034,113113.320132154,68880.7294775208,73603.9196608798,8124.67321558465,-37496.0022218316,78137.4916585957,35218.0388626127,25451.5789032644,17467.8738927186,-33904.9010039628,-29371.3290062469,21839.0280720323,32358.4742083388,21341.0478187147,17757.1788780847,14662.7858313433,10499.4880865549,-7288.09324520055,-26616.8077587622,-17145.8348476631,-12225.4941585838,25347.0562902396,48256.8633706402,47726.291112955,46240.4103657389,-24627.4506372699,-37779.1803058359,-13536.4618691411,44232.5906546329,1901,1902,1,1,1
253775.248959268,40208.2155122433,10231.0094395658,16833.3838136725,-37916.1015572899,140049.970941054,94599.7802495884,36658.6057727982,15131.6319446519,36738.0876057882,15226.225070637,0,0,0,-8937.73216797373,2765.72593284505,13207.466478269,12950.6276225398,1132.26368412176,601.557685595435,10938.2403924239,-5810.41862934261,1557.40113943232,8781.34413768077,6452.53797216294,697.713467631241,439.291921219627,7211.41814469412,-344567.878392904,94.635379125541,-195294.107089655,-209399.182536035,-250691.630462209,-197054.863205345,-251766.150089491,-252545.876102506,-152831.719773879,0,0,0,0,0,0,0,96178.858092387,231.443545220145,105084.414438445,114561.664940094,119537.469968389,92610.4053003144,91603.4407607932,4.15268334086387,79.7818081098701,-3.88769502642209,-5.65352214778549,0.651129220259447,0.755281141733484,85.6710330504901,124.840550541236,-2.30622745137359,-2.30957238755129,-2.26328263967743,-2.60570586808113,1.06300798181276,0.609275471156508,-138808.462359854,27839.1308752432,100261.362690663,11985.6000972974,-278894.556023058,107291.935091228,43378.9742897757,37316.4920889236,26596.4687125288,-273939.528326325,-266908.95592576,9930.69597325855,19898.0445036166,31446.77117679,25899.5003736726,21789.3440539448,16224.116373835,-51978.2752516613,-221961.253074664,-162407.433135819,-104501.522789941,28794.1677546178,71467.1949360454,17275.6854275707,11568.3790760905,-165490.987968533,-207301.798343696,80150.4680096598,-166647.593235097,1901.5,1903,1,1,1
220864.63467919,24843.8704931548,5387,-13072.3413379713,68692.1398404826,93510.4642497436,46890.50143378,21183.4790907691,9681.92119760105,19965.0969547983,8654.308712825,0,0,0,970.286804706867,19312.7217786816,2803.12068522901,2364.34628198357,1380.61132848682,1350.56907697413,2838.37433050858,592.604557776326,10973.4133512841,1921.94558120783,1221.95368590492,877.664243182779,867.14999847219,1941.27356086158,-246085.594289363,2305.72923839656,-251549.638947159,-266042.061121397,-247649.247301855,-253209.461350253,-247525.98265908,-247087.549725868,-251007.570907376,0,0,0,0,0,0,0,90132.0772106781,2225.53551583537,120153.321783116,122448.311526759,124921.852443318,97077.5067111351,96482.9036797486,0.867243529223878,982.251721663416,0.040966797418462,0.161660905757088,0.41189847261852,0.420872187435746,91.6773933600962,-7.32865720763413,0.126806739588856,0.121420215270473,0.127397187254054,0.177003423099819,0.531803302682599,0.40557797285047,-1423863.20339901,777.13364136886,363161.582867387,54597.6278893358,-1842399.54779711,395016.63474644,142771.375119051,143565.813099235,108679.446528154,-1819656.97178682,-1787801.91990777,4543.39726114888,24333.550740702,121893.088276882,99201.4804405054,84680.3467656492,68363.4324212344,-148012.238232183,-1671644.73355464,-966335.221689778,-821466.698217993,86094.9392930073,277066.64357438,3740.35976277495,2511.88554972744,-222084.849177263,-260705.448010979,90084.1246649925,-1424640.33704038,1902,1904,1,1,1
5362.00558511791,34276.8776292708,5177.2061167859,1655.05924538986,-115772.854192589,12333.1489786969,72869.773924349,6986.11924772497,1666.44852650642,12079.9044193994,4587.15653322014,0,0,0,1382.75764900897,1855.26275215366,1246.366491772,1527.33582609329,1365.95542277173,1362.33196227896,1212.96038755709,887.437693913145,1042.83334816973,865.018336303187,760.159058701788,880.857204554806,883.567229775016,855.26280452563,-242939.09063059,-4.49090882353564,-257698.870286801,-269207.85866359,-246915.854785413,-259155.032142499,-246760.70048755,-246415.334315178,-271836.853804224,0,0,0,0,0,0,0,97667.5458401425,16.5252628070469,114951.039068208,115634.80633818,117094.785732145,100812.325618087,100561.996252447,0.410928528226989,20.1483361850527,0.354377342949132,0.486404583690858,0.365786829405754,0.362537216372432,93.5227573342709,-1.65235845806524,0.362538109986659,0.36256114493392,0.36293307057454,0.426181015145492,0.335485367709204,0.363682125308259,-10588382.3653751,-79436.6367228988,1527335.82085717,270249.607615683,-12306531.1571251,1683284.23170926,559832.203226111,627829.804603269,495622.223879883,-12192229.9603615,-12036281.5495094,2151.70445000555,24873.2830094453,536470.141011259,432142.365706461,372984.006980083,318325.655796607,418449.816313782,-12610679.7766753,-5546023.91063793,-6490257.63887144,308922.455067497,1218413.36578967,1399.31255943203,1207.58780135289,-221525.564499289,-266870.426300176,98405.6854068997,-10508945.7286522,1902.5,1905,1,1,1
314446.939955696,9083.72636304478,114,72472.6268567054,202865.907081686,38833.3987072945,-8808.71905303473,5306.84757208178,4555.49431084501,4524.12981653319,3385.41121745349,0,0,0,1365.75378363671,1835.65458781865,1147.64762355888,1530.76537735521,1348.22512869793,1345.37814014691,1073.23383760437,889.929127614208,1032.45986505747,779.576321312842,738.766552420663,878.163156959113,880.33725576796,752.2248221665,-243135.313005351,7.22052910073314,-258359.925889777,-268138.72545938,-246480.087821851,-258219.271601128,-246232.4926902,-246142.288931807,-286304.523154102,0,0,0,0,0,0,0,101747.876807765,22.6584290860072,110787.067285227,111125.831769083,112428.298005668,103329.281553714,103229.878388061,0.370345560849984,23.0357073838342,0.385102951931814,0.524924658179092,0.349308963281755,0.345794213052136,94.1664905852992,-1.31838086369789,0.386476726037559,0.385675603162243,0.385651709289864,0.450498616379359,0.376750293379731,0.348539299129832,-76315196.5922567,-617993.177094371,6331767.90649613,1279364.654769,-83308335.9764275,7023355.85374203,2160123.82153574,2700985.98112586,2162246.05108043,-82720559.2689044,-82028971.3216585,940.765362658406,12466.3464614858,2148325.77235526,1851011.29174937,1615974.66772158,1396246.07273534,2451564.59738153,-85172123.8662859,-30532286.4557685,-51496684.86589,1066832.92498678,5264934.98150935,1172.71524798939,1142.56817486908,-210149.450156388,-268128.806801372,102578.363114526,-75697203.4151624,1903,1906,1,1,1
-592063.864675404,2568.94982368312,29.7206699357913,-339481.414923322,-361581.591684409,23945.3090926371,82484.8830160069,4858.49656680127,-1869.29598497155,3314.09963354384,-1975.4051645024,0,0,0,1344.52837793883,1793.79616626699,1154.07382595928,1561.32503756879,1334.59055215088,1332.230406158,1019.44248390713,882.666749608296,1008.95586361364,772.040948403749,741.998045270797,875.208976224213,876.595608012134,722.181546946022,-243275.127789738,7.73909340904907,-258378.327510408,-266671.474656489,-246117.549983428,-258530.049897711,-245978.392315577,-245903.598131923,-312756.392371667,0,0,0,0,0,0,0,103900.488505567,22.4357806078641,108324.06285028,108529.472047894,109745.003070008,104975.774320353,104936.769497775,0.361725873777487,22.6959527567527,0.391143270789961,0.536755238777943,0.340247780755303,0.337551853732698,94.546468617982,-0.847562698691794,0.391720478817448,0.391028471815598,0.390992610384332,0.457983041090046,0.387784086301294,0.339969886394423,-542459970.134414,-4488547.96377182,25816601.032241,5868635.47178225,-569656658.674665,28864095.6247432,8121389.37647458,11441953.0615315,9300753.18673712,-566835517.795385,-563788023.202883,391.742403784898,7199.09704312358,8114489.09192404,7812025.16693302,6887642.59921164,6043038.482124,11943794.0279462,-578779311.823332,-155599470.933956,-408188552.268927,3436049.08118927,22380551.9510517,1160.87873490222,1153.02907955748,-191461.976808505,-268651.884027186,104767.191833707,-537971422.170642,1903.5,1907,1,1,1
1691179.94610323,-11920.3245916446,-12567,1192596.93189329,660245.183508564,25061.3943869962,-174803.239093972,4697.96485369707,12109.5856279375,6051.35843884541,11072.9281319653,0,0,0,1331.826087088,1771.69972465555,1162.99373938281,1582.01171956507,1325.43338941709,1323.69653166504,892.405805905938,877.834841579329,996.531701078802,771.087290092969,746.11595882185,873.145964726977,874.00586996672,670.870537245973,-243244.074507581,7.71778660886699,-258275.107511317,-265183.823678093,-245777.66419831,-258289.442007501,-245689.378591933,-245646.297927002,-373089.513219218,0,0,0,0,0,0,0,105110.75344579,22.1865073580292,106890.944203907,107024.025403007,108194.903692472,106040.335545103,106025.224268066,0.358871241737827,22.4441200635017,0.393652771473207,0.542821302997077,0.335518513439899,0.333641784223733,94.6897983111562,-0.692801825439959,0.394010779259647,0.393540311267011,0.39351516601881,0.462253433649064,0.392694352630439,0.335431155968786,-3825744855.6421,-32056310.3119354,104169163.615882,26385799.5110185,-3924243508.45707,117377755.028561,29811983.7006227,48025062.5452299,39540708.7827085,-3911066300.35873,-3897857708.94605,135.985531961308,3644.28571520073,29808474.4023914,32745489.1617227,29013517.7614127,25806764.404803,56741822.7221525,-3967808123.08088,-679502056.951854,-3218355651.9942,9960372.00155775,94208791.6143247,1166.88759336084,1162.58205557415,-157301.94143219,-268950.653594537,105998.741922378,-3793688545.33017,1904,1908,1,1,1
-4538906.35290126,-3945.00553521556,-4111.05190361233,-3759311.89561735,-1236235.25504525,-11465.2301291211,472051.033425686,-3227.46596030101,-25867.8660368815,-6430.00387856216,-24112.8883943072,0,0,0,1323.90300117559,1760.80113484317,1168.70425324725,1595.62724355265,1319.04471008933,1317.84880843148,465.444795729354,874.611247329504,990.403777968008,770.835993728061,749.801508995806,871.513918040605,872.0401843595,510.04569803052,-243090.468070078,7.70659723604068,-258123.760998947,-263758.847550256,-245437.930621279,-257913.836322607,-245381.599384941,-245358.713706696,-564717.836246718,0,0,0,0,0,0,0,105827.669703145,22.0625414439829,106050.423859379,106139.716459298,107282.437438911,106724.230100661,106718.445675589,0.357880410240824,22.3206882739216,0.3951347216582,0.546549465644375,0.333079352617245,0.33183423434782,94.9846791483139,-0.779751433704166,0.395380131373014,0.395063941810144,0.395047289191949,0.465054622390372,0.39537311236022,0.333061895248168,-26877397189.618,-226736153.430196,417632653.940687,117039268.147587,-27185332958.2761,474058945.850836,106773191.796007,200491887.99621,166793866.058619,-27124719982.0386,-27068293690.1285,-99.187961578704,1555.98563381693,106771697.452239,136968671.722868,121155021.691789,109162060.640173,264156074.094518,-27388876056.1331,-1865066678.57758,-25203227011.5509,23557822.2563964,394074831.684291,1172.27634629615,1168.49071326356,-76452.3245952132,-268984.092752617,106727.83335562,-26650661036.1878,1904.5,1909,1,1,1
