"PSIZE","S","Births","I","NI","L","R","new_I","new_NI","new_I_react","new_NI_react","Sv","Lv","Rv","TBItot","TBI0-14","TBI15-54","TBI55-64","TBI65+","TBI55+","TBI<55","TBNtot","TBN0-14","TBN15-54","TBN55-64","TBN65+","TBN55+","TBN<55","TBMtot","TBM0-14","TBM15-54","TBM55-64","TBM65+","TBM15-59","TBM60+","TBM55+","TBM<55","TBPtot","TBP0-14","TBP15-29","TBP30-44","TBP45-59","TBP60+","TBP55+","TBPbtot","TBPb0-14","TBPb15-29","TBPb30-44","TBPb45-59","TBPb60+","TBPb55+","TBPItot","TBPI0-14","TBPI15-54","TBPI55-64","TBPI65+","TBPI55+","TBPI5-9","TBPI10-19","TBPI20-29","TBPI30-39","TBPI40-49","TBPI50-59","TBPI60-69","TBPI70+","YearPsizetot","YearPsize0-14","YearPsize15-54","YearPsize55-64","YearPsize65+","YearPsize15-59","YearPsize15-29","YearPsize30-44","YearPsize45-59","YearPsize60+","YearPsize55+","YearPsize5-9","YearPsize10-19","YearPsize20-29","YearPsize30-39","YearPsize40-49","YearPsize50-59","YearPsize60-69","YearPsize70+","YearPsize55-74","YearPsize75+","YearPsize15-24","YearPsize25-54","TBI15-24","TBI25-54","TBM15-24","TBM25-54","TBPb15+","YearPsize15plus","timestep","year","type","vxint","fit"
1267142,114042.78,4400.97511467781,25342.84,25342.84,1013713.6,88699.94,0,0,0,0,0,0,0,3056.51273152106,758.017974830976,4190.40742947554,5527.04541538717,3872.10548817719,4866.97747722457,2830.07485068278,3509.99350980536,839.529993465995,4988.39738954944,5895.24310635079,3240.26307321942,4836.31210376973,3344.10860514405,1080.18676016207,1362.55205512125,1021.39975565827,1086.86756000379,-461.807584637086,1025.65510986026,155.255907588444,469.183018831273,1156.60602913682,0,0,0,0,0,0,0,1365.20258582353,1427.53466175957,1264.0833653085,1265.34503057486,1286.70505017843,1810.94132526408,1652.12085395752,81.6075553210701,82.3945276504801,81.2811529767732,81.07611207648,80.0521937226291,80.6691041208618,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1246307.72200513,439029.426409901,668729.071019696,83289.2725398237,55259.9520357049,715430.261309708,311005.620512215,239272.204977476,165152.435820017,91848.034285517,138549.224575529,119961.3105965,218283.248775865,177639.885747264,153223.034608725,125469.700363163,91380.7128143239,58730.5945832756,25234.502737201,116212.091160569,10463.1385828439,202078.72841844,409974.992080389,4605.32926286908,4565.17646752318,1114.63623694215,1116.64234447,1454.84050777793,738728.950242241,1900,1900,1,1,1
1262672.37202665,106492.480152039,4205.35857883457,23382.3459490528,23197.4590047304,1016468.57543919,93131.5114816327,1668.16057672213,3371.09250297345,133.749671779282,195.870709237951,0,0,0,1597.91188943162,431.329229000914,1897.61907032871,3578.20337290301,4047.31847523036,3771.22154344807,1320.10419007834,1789.92986672992,474.035521150914,2254.66482487773,3812.14373958023,3395.60901365552,3640.75985027971,1553.34378307001,404.040324301047,632.277829579177,335.145429132086,396.195788118185,-499.928423651306,338.72124971785,-147.519022727737,27.4840261673194,452.174394228998,0,0,0,0,0,0,0,554.089647850647,600.107992925757,398.380575208988,388.810450961433,403.998216606854,1527.06957639489,1175.03214283489,82.1803820485222,81.0578597232231,83.0725801740086,82.385671492434,79.9747197548734,81.3949685212098,85.9960565118562,85.1364362913367,82.9604702616291,82.9589143817794,82.9594501768322,82.7136761058043,81.4286809152658,79.7404651376329,1238660.22749162,432566.667187557,665704.791236443,82625.5820884114,57763.1869792055,711336.597111582,310782.875242333,236455.500847146,164098.221022103,94756.9631924776,140388.769067617,134212.648068004,235314.649759244,194839.872685395,165285.693284649,135829.740885378,99438.2876992214,64983.6510360895,29773.3121563881,128101.262756666,12287.5063109508,220531.001563078,445173.789673365,1937.65104037088,1877.78796020334,342.1497113129,331.675635086712,529.395241222316,806093.560304059,1900.08333333333,1901,1,1,1
1258450.35615235,99975.090883722,4031.21974537979,21583.4838374403,21238.5195526617,1018586.79871926,97066.4631592602,1532.38395381322,3089.35042475602,136.836723730372,201.505207079712,0,0,0,954.723437867387,260.100961315504,899.351728485703,2702.88413655195,4122.82243852324,3301.794387588,649.26267293166,1030.82498932734,282.712103112302,1065.55969846239,2872.27167079049,3452.9694075746,3117.20190954144,759.292383945846,96.1239013333568,246.180396385492,59.0804886091094,40.5017850558522,-486.249240072852,57.6077153145714,-281.312928187337,-181.674480106765,132.278115632975,0,0,0,0,0,0,0,250.492399157161,248.193922967913,102.219265414206,88.9037072823592,82.8235228773056,1404.60872036711,984.281355110891,81.3095703031854,77.7334499974828,83.6296997065016,82.4605407485412,79.4625128714581,81.1969958857114,86.9957849962081,86.4391015870088,83.3700116224967,83.3664782572533,83.3668252121492,83.0092064254997,81.3766319604138,78.9054036098599,1240060.14882845,429271.259370916,667985.800795305,82570.729579668,60232.3590825637,712870.850070485,313069.786252703,235502.029095085,164299.034722698,97918.0393870512,142803.088662232,139974.495040161,233943.27570765,197546.246986522,164359.774685937,135512.2976619,99928.9914699448,65814.1102800647,32103.9291069865,129501.05036022,13302.0383020119,221633.93061168,446351.870183624,927.433614752788,885.40779938375,69.4950651465475,53.909179407024,251.709324772722,810788.889457536,1900.16666666667,1902,1,1,1
1254453.31808936,94315.6087279331,3875.64462918732,19931.7979081097,19448.3826736092,1020185.88536391,100571.643415799,1411.53091900791,2838.50651014028,139.582090754066,206.496392784854,0,0,0,732.768353252715,186.920084359925,539.886723755646,2421.41606426026,4289.30607924674,3226.27856737636,402.570836394553,765.041305921014,201.15541835158,637.900340253089,2569.21439506493,3588.06579852801,3008.23129879872,467.991884870368,-15.7164661700361,87.3354438360065,-27.1870170818393,-110.19566506222,-470.715795535584,-32.2394848726391,-335.005503378851,-265.54160744022,17.3660697782462,0,0,0,0,0,0,0,138.715615088909,100.473240571892,1.80589647364186,-11.5176309455451,-32.1464321351694,1358.50704447287,915.444902316217,79.9871895327701,73.5703448780881,83.8994334852596,82.2367970880289,78.8553484388006,80.7805541960143,87.2480221341095,87.2579702030176,83.4763473116169,83.472346001701,83.4725336280469,83.0269552627386,81.1350081821206,77.9129760475459,1244664.53682432,427593.261140761,671523.23086594,82832.2731524405,62715.7716651817,716122.634063923,315724.282364716,235326.254216984,165072.097482223,100948.64161964,145548.044817622,147998.026043111,233710.062418214,200647.101515031,163904.448787177,135662.131905426,100831.771006604,66498.5091881974,34450.1324314422,131021.99865448,14526.0461631423,222658.39987792,448864.83098802,547.784266707128,535.969165160838,-16.3716198323606,-32.5519708036809,158.728779325795,817071.275683562,1900.25,1903,1,1,1
1250661.17486563,89373.9513281104,3736.18698673841,18414.3840489052,17811.4251621798,1021358.65228432,103702.762042113,1303.45429527648,2614.11037487691,142.032020514355,210.932617434306,0,0,0,663.575073544997,154.906856603754,409.746048387627,2345.947651853,4470.21055469474,3278.58850088134,311.013774579059,678.088735648174,165.619795668534,483.331523747792,2487.38314437311,3736.11360678167,3035.62839081144,360.240561524376,-55.8080849945384,22.7642531539338,-52.0338423590569,-174.60200119205,-457.360928081709,-58.9995599550135,-357.174480852127,-298.74507467506,-23.0548380118326,0,0,0,0,0,0,0,99.4410109541044,38.9967784720456,-31.8739404202303,-44.2497626263154,-72.5043952533938,1353.33720315493,899.593206961112,78.5165372216712,69.0783167926478,84.0867069574751,81.9483620470553,78.2442405624331,80.3228049936486,87.2363614713967,87.9166890599523,83.4940509014976,83.4909659370193,83.4910516451608,82.9863388704106,80.8596663304024,76.869751763818,1250357.09735057,426873.547216812,674935.471965399,83329.2177537031,65218.8604146555,719811.767560842,317958.506588238,235639.890805521,166213.370167083,103671.782572916,148548.078168359,158256.542123344,234661.681458662,203478.094907582,163753.795025514,136166.965343399,101932.50060369,66959.1599866294,36712.6225862871,132610.514916281,15937.563252078,223152.245973069,451783.22599233,401.120105824311,414.006716659254,-41.6844478767066,-57.1457865179509,130.773809191814,823483.550133758,1900.33333333333,1904,1,1,1
1247056.00135153,85037.0134782826,3610.78159212139,17019.6627249178,16313.7272372268,1022178.95630954,106506.641601566,1206.42474890521,2412.57849372929,144.224976006579,214.887192096357,0,0,0,650.301810622916,140.494206688387,363.246435927016,2340.37009064396,4641.9403061546,3367.6079227049,277.219722633164,656.672559228251,149.705936931872,428.22712492716,2480.76492746542,3877.07876022623,3103.96833215655,320.662489242793,-70.0624254077879,-3.13429210473692,-58.0805667064299,-202.620523277807,-447.435207284019,-65.9757692477729,-367.119450937054,-311.886320845243,-36.8603642066319,0,0,0,0,0,0,0,87.6857802038108,13.5935683504497,-42.9948419904841,-54.6531623455674,-86.5075502681062,1371.87934796676,907.890643674036,77.0191275477389,64.5066565987092,84.2499875405276,81.675842292813,77.6536367170499,79.8813041460534,87.2907247113305,88.4072655262699,83.4850357897452,83.4838015264067,83.4838249277853,82.9527430082671,80.6043166726898,75.8127074175257,1256358.97829204,426629.171890827,678057.912599978,83977.6273726119,67694.2664286213,723653.151123027,319809.650963942,236284.84278728,167558.657371805,106076.655278184,151671.893801233,175478.438604903,236917.921591941,206017.564922634,163781.462089461,136907.45832887,103154.579740753,67202.9736995845,38873.6815785998,134198.593317018,17473.3004842149,223176.341765402,454881.570834576,342.537241081151,373.406887884055,-48.0744773324229,-62.9898058689912,125.782397611905,829729.806401211,1900.41666666667,1905,1,1,1
1243621.71981978,81212.7320686422,3497.67563766625,15737.1982450381,14942.8260379819,1022706.02518037,109022.938287742,1119.02928466041,2230.98382822048,146.193217940232,218.421476806512,0,0,0,657.675267392427,133.551448037587,347.901079562437,2356.57416129649,4798.16190431318,3462.61104084054,265.345166885092,659.526166981082,142.096148782621,410.099049850713,2497.68699872012,4005.56252593791,3180.7531500943,306.87879264543,-75.2457089561087,-13.3229052933943,-58.9843121765228,-215.173601892151,-440.480593235802,-67.330693154437,-372.564753542938,-317.237450450504,-41.3980019386568,0,0,0,0,0,0,0,86.4691718003759,3.17685768198144,-46.5769200750442,-58.0383690665872,-91.5517603707887,1404.84071078982,927.295452095802,75.5462036046993,59.9698615239923,84.4072852113091,81.4504732188116,77.0926407937153,79.4770022390297,78.5314699396912,88.54135483754,83.7884206303481,83.4693761134413,83.469359817196,82.9246980805969,80.2163163954998,75.0701875375526,1262371.68473849,426537.142837364,680931.437350001,84732.1484265969,70170.9561245289,727628.991984889,321411.425027195,237215.988081631,169001.578876063,108205.549916237,154903.104551126,170510.03381098,240694.669419798,208302.002593083,163904.403595554,137879.461983764,104433.701378376,67464.9312607923,40740.618655445,135776.591933897,19126.5126172286,222858.331320645,458073.106029356,317.632860375452,362.626949148036,-48.8937738001049,-63.8934860946077,128.974313551953,835834.541901127,1900.5,1906,1,1,1
1240343.85096336,77825.6047692724,3395.37406257354,14557.5524847242,13687.5178960537,1022987.70280146,111285.473011851,1040.09789453986,2066.90367709017,147.964012632878,221.587233214711,0,0,0,672.046111152954,129.903035297945,343.986802557379,2377.69288429233,4939.52223632647,3552.79438156193,261.774441464574,670.832242158736,138.131765253729,405.503888665205,2519.98657876733,4121.94489809958,3254.79884021484,302.827754750687,-77.4134511685508,-17.1956904295809,-58.8377325630698,-221.259542068995,-436.802665480537,-67.5033038408913,-376.334770925907,-320.128362838012,-42.8463725064641,0,0,0,0,0,0,0,89.3475636559668,-1.05110322333749,-47.6511973495006,-59.4115536333193,-94.0503512217848,1446.73063089897,952.496426776302,74.1180126973922,55.5061853026733,84.5643284866061,81.2782652487651,76.5570352589348,79.1132494874383,67.8630446525827,88.5281450021008,84.2156726480254,83.4530198296112,83.4529759984811,82.8965937391719,79.8187507512385,74.4650404253341,1268275.61703015,426326.00235651,683841.318614935,85584.6147753266,72523.6812833801,731804.61471085,322931.320403691,238404.487547319,170468.80675984,110144.999962791,158108.296058707,163599.794629493,246489.867726089,210166.231662098,164299.145997265,138905.080079316,105669.068230578,67711.9220555336,42433.0779072576,137308.196063121,20800.0999955854,222543.284532018,461298.034082917,305.41683721541,362.594050230897,-48.222450822895,-63.9588462252768,135.121445604889,841949.614673642,1900.58333333333,1907,1,1,1
1237209.3111138,74813.2729417087,3302.59567722453,13472.1646512693,12537.6973054911,1023062.90379077,113323.272424556,968.649857551243,1918.30820955708,149.560565198832,224.428437940958,0,0,0,688.54577547375,127.680643792164,345.090065999883,2399.10463866935,5068.59771094943,3635.1887588078,261.928001214465,685.08156931331,135.738803892319,406.831439356783,2542.64931826234,4228.31759096305,3323.18244844457,303.134814415636,-78.7162403858338,-18.5586617244622,-58.7257903065978,-224.823222074627,-436.659820351299,-67.6486955912458,-379.925599724191,-322.912203054935,-43.361316607752,0,0,0,0,0,0,0,93.8111530229295,-2.73857592025081,-47.9169527770269,-60.3384081291934,-95.8296580455044,1491.65701448745,981.322595136586,72.74047683157,51.1050684953957,84.7233297813397,81.1529832142408,76.0409517411554,78.786468541924,55.4481836817591,88.4601597499796,84.6868548246371,83.4360210192525,83.4359559146783,82.868968872958,79.4593307170938,73.9404774369938,1274037.87905031,425703.134450234,687206.612700114,86519.2380926432,74608.8938073183,736260.32564513,324608.58803539,239802.465565006,171849.272044734,112074.418954946,161128.131899961,154402.726606653,254908.374896036,211398.025287459,165219.084373758,139718.105946149,106714.547289834,68026.4185076777,44048.0004472683,138728.493981042,22399.6379189197,222703.443831732,464503.168868382,299.325406306394,367.0316758803,-47.2841895333472,-64.2114017424861,142.260803945583,848334.744600076,1900.66666666667,1908,1,1,1
1234206.24471856,72123.8920349201,3218.23772196985,12473.2510459198,11484.2239214338,1022963.4862355,115161.391480781,903.853930731319,1783.47778576198,151.002748595333,226.9826958419,0,0,0,705.225306073994,126.365710247556,348.517853755889,2419.52223263669,5187.4036962119,3709.26016813565,264.027300994114,700.089563892741,134.33279467809,410.894166516613,2564.27080328584,4326.36088038163,3385.34441070154,305.710292032345,-79.8924802227748,-18.9517596636227,-58.8764739720259,-227.492953494741,-439.701194352868,-67.9817191571209,-383.938637123175,-326.374723564008,-43.6920101739244,0,0,0,0,0,0,0,98.797546862949,-3.39331929771642,-47.9588924317521,-61.2909056393321,-97.3436354730257,1535.42457519491,1012.3016448814,71.4154990914195,46.7319843731706,84.8855795560005,81.066277211057,75.5425285015234,78.4929292201046,40.6283859618552,88.3799338843128,85.1721661545216,83.4185391725851,83.4184559918294,82.843579628022,79.157229060016,73.4733867238153,1279650.33151793,424360.88220262,691416.876622147,87513.5680278446,76359.0046653158,741197.925561466,326736.859275006,241381.47252583,173079.59376063,114091.523753841,163872.57269316,142486.787940831,266460.948601494,211941.584567634,166788.241490666,140174.442434243,107498.38236155,68469.8168022053,45621.7069516358,139998.180945565,23874.3917475953,223765.575873925,467651.300748222,296.014471714107,373.640096544717,-46.4375848083169,-64.8283342416241,149.500623057454,855289.449315307,1900.75,1909,1,1,1
