"30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE","30%cov, 40%VE","30%cov, 60%VE","30%cov, 80%VE","70%cov, 40%VE","70%cov, 60%VE","70%cov, 80%VE"
1.174570656,1.743440514,2.300585365,2.665696473,3.90553283,5.089604192,5.183565651,7.676120672,10.1058098,11.69183336,17.04052867,22.09450817
1.316040739,1.952472566,2.575164826,2.982890586,4.365371131,5.682587543,5.487032194,8.115307256,10.67064297,12.33504563,17.92602453,23.17608277
1.193186317,1.771089775,2.337086856,2.707999264,3.9675147,5.170304578,4.735933007,7.006835156,9.21624451,10.65615402,15.49790012,20.05146332
3.514174516,5.230404218,6.920508077,8.033121013,11.8417953,15.52430538,10.10768137,14.96774471,19.70540098,22.79820566,33.23063434,43.09326237
1.097982957,1.629203728,2.149115583,2.489631029,3.644765395,4.746202738,5.06648575,7.502205415,9.876161581,11.42562984,16.65004682,21.58521899
