"All ages","0-14","15-54","55-64","65+","15-59","60+","55+","<55","15-24","25-54"
1.65825485767501,0.0125950001082257,0.347199835575949,1.08307844123253,5.36355692478116,0.392818653723833,4.47767330042655,3.95161666230067,0.25856863684607,0.173965557567062,0.399275105589938
1.62655238093879,0.012310266347488,0.339492742818658,1.03662078614055,5.27547282015999,0.382591058629654,4.39624718174641,3.87729613380777,0.252827981469767,0.16980277651475,0.390502298645184
1.61131213438085,0.0121733945693353,0.335783235794961,1.01424534925756,5.23315953887161,0.377668331412927,4.35711458312375,3.84157490231804,0.250064981637762,0.16780026609634,0.386279531034732
1.59645830737811,0.012040002024409,0.33216502813841,0.992411111667325,5.19193845146023,0.372866735099212,4.31898103599727,3.80676349933133,0.247370010754197,0.165847721627942,0.382160493608623
1.5867631115598,0.0119529420167757,0.329801953637801,0.978145923715698,5.16504337629276,0.36973077581507,4.29409458660952,3.7840440176146,0.245609921701723,0.164572865679354,0.379470216180649
1.55407101053964,0.0116594268187274,0.321825496523037,0.929964614241255,5.07441192464249,0.359145548659185,4.21019796987605,3.70744648765521,0.239668896955332,0.160271772163432,0.370388667980454
1.5231836572344,0.0113822142934527,0.314278254916978,0.884334670459507,4.98886384641172,0.34913028223237,4.13096006376561,3.6350943686262,0.234047677280143,0.156205161380777,0.36179489859957
1.55216231084003,0.0116980937097131,0.324045734782919,0.973926421853467,5.04116854531359,0.364765492059336,4.19544886663576,3.69969691626795,0.241311241254173,0.161369065613844,0.37294650384624
1.50027837124199,0.0112603548803556,0.312720149139283,0.92020714307517,4.88370781454372,0.351033972660367,4.0574680151644,3.57651424711592,0.232870161418962,0.155209109131834,0.360067739221906
1.44914362974568,0.0108295267983767,0.301557004919045,0.867038608970909,4.72865286253037,0.337492873253639,3.92150468399737,3.4551208896022,0.224550277800331,0.149138404913162,0.347373448759324
1.41546070135304,0.0105460630275095,0.294203258682329,0.831891546137599,4.62658925456732,0.328568978198353,3.83195790501558,3.37516351146814,0.219069605366547,0.145139783863596,0.339010929845699
1.30004769879982,0.00957681471573111,0.269004145205066,0.710690909901829,4.2773175300855,0.29796627152364,3.52521066842289,3.10122505688732,0.200289386566634,0.131440340034005,0.310354340389175
1.18831406985357,0.0086415688710166,0.244607727406314,0.592178084583819,3.93985004843686,0.268302234033124,3.22835973558877,2.83606349691175,0.182108032385595,0.118180838417273,0.282609636946934
1.52248381973922,0.0114313491654068,0.31681804967336,0.930915946663558,4.95851059219364,0.35521203320119,4.11920000633927,3.63014548169086,0.23592770501738,0.157473875500503,0.364716822277305
1.45779351323629,0.010878389226858,0.302361237149534,0.858984995299609,4.76524766544372,0.337371246624869,3.94830672096082,3.47697345719597,0.225154387655651,0.149633934132472,0.348270502424433
1.39510670446623,0.0103435593091569,0.288366320231565,0.789651339470558,4.57778900617494,0.320135163824399,3.78264188550547,3.32854114613638,0.214725340941518,0.142049031398686,0.332348313455314
1.35438445246664,0.00999668969767607,0.279283370674886,0.744812947705014,4.45591263886583,0.308967484134628,3.67498720335804,3.23211412878835,0.207956737672901,0.137128685245178,0.322013832110308
1.21820031788861,0.00884020403582683,0.248963589793493,0.596077904490784,4.04771247369433,0.271801224523277,3.31473539670351,2.909612808761,0.185362663104814,0.120717639178836,0.287512358039743
1.09113677962203,0.0077666369720038,0.220766832132137,0.459106374390589,3.66590634238174,0.237402924680855,2.97824608407167,2.60865222522742,0.164350913570454,0.105474261743932,0.255421301394495
1.63770804067953,0.0121998599235977,0.314829814369372,1.06610159932553,5.34952574401045,0.362262326746826,4.46269834600767,3.93661056188715,0.234670672260812,0.148685418913122,0.364771662494831
1.62809794019566,0.0120153623344812,0.299673195580002,1.05818539062511,5.34298141211831,0.347957931923824,4.45571441636133,3.9296121796982,0.223480883706605,0.136748320555781,0.348646290123158
1.61889301027393,0.0118388454008047,0.285143436601836,1.05061949731789,5.33672687804059,0.334247230939148,4.44903979578044,3.92292362475599,0.212753876438811,0.125239844671193,0.333207446172785
1.61296901429579,0.0117253536963162,0.275785457471186,1.04575965486544,5.33270991295962,0.325417950479577,4.44475293834226,3.91862769294305,0.205845078198119,0.117792251380573,0.323274653231429
1.59346775199934,0.0113523854864072,0.244933718253616,1.02981938000058,5.31954123619065,0.296316635872097,4.43069794342799,3.90454171040755,0.183067896154321,0.0930273666397095,0.290591492234988
1.57568787263554,0.0110132457694933,0.216730823745306,1.0153750865365,5.30762545425049,0.269725341657824,4.41797609574173,3.89178909862605,0.162246359403836,0.0700794160045341,0.260807531988186
1.65746779559189,0.0125792895847352,0.346016747413654,1.08236525082269,5.36294880151844,0.391693480148938,4.47702900021341,3.95097373933944,0.257694883881649,0.173301675261896,0.397935836459101
1.65708581751063,0.0125716842515899,0.345440554125084,1.08202124230264,5.36265622336677,0.391145791379363,4.47671883084999,3.95066412797784,0.257269355719652,0.172973814877892,0.397284942899495
1.6567113436802,0.0125642412516097,0.344874329925544,1.08168541101615,5.3623711072306,0.390607777941926,4.47641644625718,3.95036221633147,0.256851197383892,0.172648600200813,0.39664622141319
1.65646579045861,0.012559367853734,0.344502287744701,1.08146598736799,5.36218510381057,0.390254382720731,4.47621910660892,3.95016514547851,0.25657644724021,0.172433232728973,0.396227050454463
1.65563147080391,0.0125428542379298,0.343233495071842,1.08072538198848,5.36155908334626,0.389049873103087,4.47555448817965,3.94950118196075,0.255639480074194,0.17168827485081,0.394800684992793
1.65483479906573,0.0125271548887074,0.342014685201409,1.08002582295815,5.36097054295306,0.387893877640405,4.47492896510578,3.94887588381612,0.254739463820045,0.170956518773865,0.393435366446041
