"All ages","0-14","15-54","55-64","65+","55+","<55","15-24","25-54"
32.5021218976594,1.04989974276746,11.9809398593613,29.5502822825688,91.208028529757,70.8698689630636,9.08549100087768,8.19486840331153,13.119055800572
31.8738476689588,1.02515311695361,11.7011612521956,28.1639275275528,89.9329207150917,69.5585444638943,8.87327845364636,7.99024672352479,12.8166786038738
31.5708500522138,1.01324715530016,11.566475450203,27.4969665170555,89.3167514438884,68.9258501188495,8.77112070531829,7.89176267924833,12.6711075527095
31.2749123254341,1.00163715710034,11.4350881556688,26.8466351188022,88.7141261303754,68.3077108444787,8.67146586240301,7.79570329296273,12.529097817404
31.0814144039932,0.99405611754459,11.3492693822652,26.4220230490288,88.3196509383918,67.9034393193812,8.60637444154491,7.73296641214569,12.4363387813261
30.4269307606635,0.968475216644023,11.059539206793,24.9895790388194,86.9825986782362,66.5354054013715,8.38662432528736,7.52119934147016,12.1231668404822
29.8056490006778,0.944282439516247,10.7853250330927,23.6355916468527,85.7091045354446,65.2358118567523,8.1786467476783,7.32082246982894,11.8267516930848
30.6891577051151,0.975859721003996,11.1793186115435,26.3315038526141,87.1332115802808,67.0793855629594,8.47663130886487,7.60351158513615,12.2542097714529
29.7955266775901,0.939600130643688,10.7861364456854,24.7468578334803,85.1204931450676,65.2087953144988,8.17800820166343,7.31356814882367,11.8299854371336
28.9101666270651,0.903830782999752,10.3978806879496,23.178110569783,83.1236431823463,63.3540475149544,7.88313486822879,7.02732488490041,11.411056774431
28.3244146149944,0.880250848616377,10.1417224673248,22.140897442158,81.8010126587802,62.1261374104855,7.68859168674425,6.83850696734759,11.1346511112109
26.301573799847,0.799342725164885,9.2615086524693,18.5629889160828,77.2240492083527,57.8806082411538,7.02012688225911,6.18989904507515,10.1848013502628
24.319216320042,0.720844082368001,8.40562358304593,15.0626017983546,72.7244489981758,53.7123199238553,6.37017757640172,5.55951723469645,9.2611178284381
30.1024210030974,0.952748600224934,10.9178622071672,25.0498234719375,85.9364943763212,65.8550968072261,8.27831872717681,7.41250530817358,11.9715705957678
28.9559414390345,0.906554150205549,10.412118263802,22.9246271666103,83.4022078855314,63.4568754804955,7.89432120266041,7.04050575171666,11.4256125779405
27.8428986224424,0.861853612295383,9.92258875138734,20.8776376725348,80.9314467879739,61.1269678789763,7.52263629239897,6.68054982619393,10.8971238536735
27.1187009748673,0.832850624389713,9.60490071542931,19.5546397635907,79.3181320024686,59.6100996547608,7.28142598861368,6.4470104987098,10.5541350351771
24.6897591115918,0.736074833838776,8.54453423539832,15.170855180868,73.8722024776834,54.5167399134477,6.47632562513278,5.66783683919005,9.40922540661685
22.4127604396753,0.64611129920007,7.5584931615323,11.14085123145,68.7143706112455,49.7328809608375,5.72765741079782,4.94369373809336,8.34444568164426
31.9319501003072,1.01638837875855,10.9808656910547,29.1215410994215,90.994490284037,70.5852974717483,8.34152367887133,6.98145394328156,12.1830610076645
31.6637135582557,1.00069025500123,10.5097546571507,28.9208962662021,90.8946126188274,70.4521590055963,7.99107615506242,6.40797939479496,11.742694855437
31.405786954693,0.98563767062362,10.0563325978026,28.728652509909,90.7989694321432,70.3246303169472,7.65379843887776,5.85482256047416,11.3192274221677
31.2392533563087,0.975941237819797,9.76334298505942,28.6049044420449,90.7374379470579,70.2425626570697,7.43586449724236,5.49672381895195,11.0457925145504
30.6878628341203,0.943965907057083,8.79184576849573,28.1974276066067,90.5350810477606,69.9725007652231,6.71327410520157,4.30537726259225,10.1403223979504
30.180573106213,0.914729034613428,7.89593073107635,27.8258427218076,90.3510089612501,69.7265355686571,6.0469539025806,3.20092212433539,9.30703566177655
32.4832262847013,1.04867051314522,11.9493965892352,29.5336718304207,91.1993450712371,70.8585686847185,9.0619812185657,8.16473493326398,13.0870864449915
32.4739672911513,1.04807225908749,11.9338824322353,29.5256170566975,91.1951492759562,70.8530989948365,9.0504198574825,8.14982834165023,13.0713885523836
32.4648309106175,1.04748463033941,11.9185354228972,29.5177249931591,91.1910483130422,70.84774655277,9.03898413211692,8.13502553162871,13.0558768866045
32.4588069044806,1.04709867671644,11.9083952815667,29.5125524388811,91.1883661144908,70.8442422681445,9.03142886437749,8.12521355235174,13.045637403421
32.4381331039997,1.04578339155609,11.873463699678,29.4949932457026,91.1792960529717,70.8323699056575,9.00540553840782,8.09121768537232,13.0104222129852
32.4180740110159,1.04452138477517,11.8393692760044,29.4782507779489,91.1707023839499,70.8210863249034,8.98001147696703,8.05773904251217,12.9761405093371
31.9140236751273,1.01521891556409,10.9510462091205,29.1056421257657,90.9861359410157,70.5744524911176,8.31929623531698,6.95354745426819,12.1526641388506
31.6376712086702,0.99899286843181,10.4664553257418,28.8977794836582,90.8824494753039,70.4363798231909,7.95880065750075,6.36779875528801,11.698454560874
31.3721351753507,0.983446425182922,10.0004052448673,28.6987591756302,90.7832208943879,70.3042122469918,7.61210981578655,5.80336252251681,11.2619525917342
31.200790631387,0.973438410881212,9.69943658065123,28.5707230054961,90.7194158254718,70.2192059473499,7.38822817164684,5.43825566207196,10.9802460404962
30.6340488804938,0.940473069396538,8.70249930097636,28.1495522261554,90.5097730401078,69.9397426407745,6.64667465352702,4.2252576017482,10.0481945768048
30.1134261721057,0.910383165379819,7.78450327121314,27.7660778702188,90.3193439452915,69.6855939389546,5.96389599844314,3.10300789765731,9.19153609483262
