"","","","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count","","nn","count"
6377.4931141676,0,0,6377.4931141676,2,1,6377.4931141676,2,2,6377.4931141676,2,3,6377.4931141676,2,4,6377.4931141676,2,5,6377.4931141676,2,6,6377.4931141676,3,1,6377.4931141676,3,2,6377.4931141676,3,3,6377.4931141676,3,4,6377.4931141676,3,5,6377.4931141676,3,6,6377.4931141676,4,1,6377.4931141676,4,2,6377.4931141676,4,3,6377.4931141676,4,4,6377.4931141676,4,5,6377.4931141676,4,6,6377.4931141676,5,1,6377.4931141676,5,2,6377.4931141676,5,3,6377.4931141676,5,4,6377.4931141676,5,5,6377.4931141676,5,6,6377.4931141676,6,1,6377.4931141676,6,2,6377.4931141676,6,3,6377.4931141676,6,4,6377.4931141676,6,5,6377.4931141676,6,6,6377.4931141676,7,1,6377.4931141676,7,2,6377.4931141676,7,3,6377.4931141676,7,4,6377.4931141676,7,5,6377.4931141676,7,6
10770.5497155527,0,0,10770.5497155527,2,1,10770.5497155527,2,2,10770.5497155527,2,3,10770.5497155527,2,4,10770.5497155527,2,5,10770.5497155527,2,6,10770.5497155527,3,1,10770.5497155527,3,2,10770.5497155527,3,3,10770.5497155527,3,4,10770.5497155527,3,5,10770.5497155527,3,6,10770.5497155527,4,1,10770.5497155527,4,2,10770.5497155527,4,3,10770.5497155527,4,4,10770.5497155527,4,5,10770.5497155527,4,6,10770.5497155527,5,1,10770.5497155527,5,2,10770.5497155527,5,3,10770.5497155527,5,4,10770.5497155527,5,5,10770.5497155527,5,6,10770.5497155527,6,1,10770.5497155527,6,2,10770.5497155527,6,3,10770.5497155527,6,4,10770.5497155527,6,5,10770.5497155527,6,6,10770.5497155527,7,1,10770.5497155527,7,2,10770.5497155527,7,3,10770.5497155527,7,4,10770.5497155527,7,5,10770.5497155527,7,6
8759.89260104283,0,0,8759.89260104283,2,1,8759.89260104283,2,2,8759.89260104283,2,3,8759.89260104283,2,4,8759.89260104283,2,5,8759.89260104283,2,6,8759.89260104283,3,1,8759.89260104283,3,2,8759.89260104283,3,3,8759.89260104283,3,4,8759.89260104283,3,5,8759.89260104283,3,6,8759.89260104283,4,1,8759.89260104283,4,2,8759.89260104283,4,3,8759.89260104283,4,4,8759.89260104283,4,5,8759.89260104283,4,6,8759.89260104283,5,1,8759.89260104283,5,2,8759.89260104283,5,3,8759.89260104283,5,4,8759.89260104283,5,5,8759.89260104283,5,6,8759.89260104283,6,1,8759.89260104283,6,2,8759.89260104283,6,3,8759.89260104283,6,4,8759.89260104283,6,5,8759.89260104283,6,6,8759.89260104283,7,1,8759.89260104283,7,2,8759.89260104283,7,3,8759.89260104283,7,4,8759.89260104283,7,5,8759.89260104283,7,6
7202.33238532902,0,0,7202.33238532902,2,1,7202.33238532902,2,2,7202.33238532902,2,3,7202.33238532902,2,4,7202.33238532902,2,5,7202.33238532902,2,6,7202.33238532902,3,1,7202.33238532902,3,2,7202.33238532902,3,3,7202.33238532902,3,4,7202.33238532902,3,5,7202.33238532902,3,6,7202.33238532902,4,1,7202.33238532902,4,2,7202.33238532902,4,3,7202.33238532902,4,4,7202.33238532902,4,5,7202.33238532902,4,6,7202.33238532902,5,1,7202.33238532902,5,2,7202.33238532902,5,3,7202.33238532902,5,4,7202.33238532902,5,5,7202.33238532902,5,6,7202.33238532902,6,1,7202.33238532902,6,2,7202.33238532902,6,3,7202.33238532902,6,4,7202.33238532902,6,5,7202.33238532902,6,6,7202.33238532902,7,1,7202.33238532902,7,2,7202.33238532902,7,3,7202.33238532902,7,4,7202.33238532902,7,5,7202.33238532902,7,6
5978.3756380631,0,0,5978.3756380631,2,1,5978.3756380631,2,2,5978.3756380631,2,3,5978.3756380631,2,4,5978.3756380631,2,5,5978.3756380631,2,6,5978.3756380631,3,1,5978.3756380631,3,2,5978.3756380631,3,3,5978.3756380631,3,4,5978.3756380631,3,5,5978.3756380631,3,6,5978.3756380631,4,1,5978.3756380631,4,2,5978.3756380631,4,3,5978.3756380631,4,4,5978.3756380631,4,5,5978.3756380631,4,6,5978.3756380631,5,1,5978.3756380631,5,2,5978.3756380631,5,3,5978.3756380631,5,4,5978.3756380631,5,5,5978.3756380631,5,6,5978.3756380631,6,1,5978.3756380631,6,2,5978.3756380631,6,3,5978.3756380631,6,4,5978.3756380631,6,5,5978.3756380631,6,6,5978.3756380631,7,1,5978.3756380631,7,2,5978.3756380631,7,3,5978.3756380631,7,4,5978.3756380631,7,5,5978.3756380631,7,6
5009.10368178833,0,0,5009.10368178833,2,1,5009.10368178833,2,2,5009.10368178833,2,3,5009.10368178833,2,4,5009.10368178833,2,5,5009.10368178833,2,6,5009.10368178833,3,1,5009.10368178833,3,2,5009.10368178833,3,3,5009.10368178833,3,4,5009.10368178833,3,5,5009.10368178833,3,6,5009.10368178833,4,1,5009.10368178833,4,2,5009.10368178833,4,3,5009.10368178833,4,4,5009.10368178833,4,5,5009.10368178833,4,6,5009.10368178833,5,1,5009.10368178833,5,2,5009.10368178833,5,3,5009.10368178833,5,4,5009.10368178833,5,5,5009.10368178833,5,6,5009.10368178833,6,1,5009.10368178833,6,2,5009.10368178833,6,3,5009.10368178833,6,4,5009.10368178833,6,5,5009.10368178833,6,6,5009.10368178833,7,1,5009.10368178833,7,2,5009.10368178833,7,3,5009.10368178833,7,4,5009.10368178833,7,5,5009.10368178833,7,6
4235.8319614408,0,0,4235.8319614408,2,1,4235.8319614408,2,2,4235.8319614408,2,3,4235.8319614408,2,4,4235.8319614408,2,5,4235.8319614408,2,6,4235.8319614408,3,1,4235.8319614408,3,2,4235.8319614408,3,3,4235.8319614408,3,4,4235.8319614408,3,5,4235.8319614408,3,6,4235.8319614408,4,1,4235.8319614408,4,2,4235.8319614408,4,3,4235.8319614408,4,4,4235.8319614408,4,5,4235.8319614408,4,6,4235.8319614408,5,1,4235.8319614408,5,2,4235.8319614408,5,3,4235.8319614408,5,4,4235.8319614408,5,5,4235.8319614408,5,6,4235.8319614408,6,1,4235.8319614408,6,2,4235.8319614408,6,3,4235.8319614408,6,4,4235.8319614408,6,5,4235.8319614408,6,6,4235.8319614408,7,1,4235.8319614408,7,2,4235.8319614408,7,3,4235.8319614408,7,4,4235.8319614408,7,5,4235.8319614408,7,6
3618.99218609592,0,0,3618.99218609592,2,1,3618.99218609592,2,2,3618.99218609592,2,3,3618.99218609592,2,4,3618.99218609592,2,5,3618.99218609592,2,6,3618.99218609592,3,1,3618.99218609592,3,2,3618.99218609592,3,3,3618.99218609592,3,4,3618.99218609592,3,5,3618.99218609592,3,6,3618.99218609592,4,1,3618.99218609592,4,2,3618.99218609592,4,3,3618.99218609592,4,4,3618.99218609592,4,5,3618.99218609592,4,6,3618.99218609592,5,1,3618.99218609592,5,2,3618.99218609592,5,3,3618.99218609592,5,4,3618.99218609592,5,5,3618.99218609592,5,6,3618.99218609592,6,1,3618.99218609592,6,2,3618.99218609592,6,3,3618.99218609592,6,4,3618.99218609592,6,5,3618.99218609592,6,6,3618.99218609592,7,1,3618.99218609592,7,2,3618.99218609592,7,3,3618.99218609592,7,4,3618.99218609592,7,5,3618.99218609592,7,6
3128.13365833222,0,0,3128.13365833222,2,1,3128.13365833222,2,2,3128.13365833222,2,3,3128.13365833222,2,4,3128.13365833222,2,5,3128.13365833222,2,6,3128.13365833222,3,1,3128.13365833222,3,2,3128.13365833222,3,3,3128.13365833222,3,4,3128.13365833222,3,5,3128.13365833222,3,6,3128.13365833222,4,1,3128.13365833222,4,2,3128.13365833222,4,3,3128.13365833222,4,4,3128.13365833222,4,5,3128.13365833222,4,6,3128.13365833222,5,1,3128.13365833222,5,2,3128.13365833222,5,3,3128.13365833222,5,4,3128.13365833222,5,5,3128.13365833222,5,6,3128.13365833222,6,1,3128.13365833222,6,2,3128.13365833222,6,3,3128.13365833222,6,4,3128.13365833222,6,5,3128.13365833222,6,6,3128.13365833222,7,1,3128.13365833222,7,2,3128.13365833222,7,3,3128.13365833222,7,4,3128.13365833222,7,5,3128.13365833222,7,6
2735.58088751596,0,0,2735.58088751596,2,1,2735.58088751596,2,2,2735.58088751596,2,3,2735.58088751596,2,4,2735.58088751596,2,5,2735.58088751596,2,6,2735.58088751596,3,1,2735.58088751596,3,2,2735.58088751596,3,3,2735.58088751596,3,4,2735.58088751596,3,5,2735.58088751596,3,6,2735.58088751596,4,1,2735.58088751596,4,2,2735.58088751596,4,3,2735.58088751596,4,4,2735.58088751596,4,5,2735.58088751596,4,6,2735.58088751596,5,1,2735.58088751596,5,2,2735.58088751596,5,3,2735.58088751596,5,4,2735.58088751596,5,5,2735.58088751596,5,6,2735.58088751596,6,1,2735.58088751596,6,2,2735.58088751596,6,3,2735.58088751596,6,4,2735.58088751596,6,5,2735.58088751596,6,6,2735.58088751596,7,1,2735.58088751596,7,2,2735.58088751596,7,3,2735.58088751596,7,4,2735.58088751596,7,5,2735.58088751596,7,6
