"O_pre_c30_v40","O_pre_c30_v60","O_pre_c30_v80","O_pre_70_v40","O_pre_c70_v60","O_pre_c70_v80","O_L_c30_v40","O_L_c30_v60","O_L_c30_v80","O_L_70_v40","O_L_c70_v60","O_L_c70_v80","O_Mix_c30_v40","O_Mix_c30_v60","O_Mix_c30_v80","O_Mix_70_v40","O_Mix_c70_v60","O_Mix_c70_v80","Y_pre_c30_v40","Y_pre_c30_v60","Y_pre_c30_v80","Y_pre_70_v40","Y_pre_c70_v60","Y_pre_c70_v80","Y_L_c30_v40","Y_L_c30_v60","Y_L_c30_v80","Y_L_70_v40","Y_L_c70_v60","Y_L_c70_v80","Y_Mix_c30_v40","Y_Mix_c30_v60","Y_Mix_c30_v80","Y_Mix_70_v40","Y_Mix_c70_v60","Y_Mix_c70_v80"
0.590193409121625,0.872487083772263,1.1467186659874,1.32522607473751,1.92429555569662,2.48620328475639,2.25472485493466,3.34439177057572,4.40979174581338,5.10688955547115,7.46665736671411,9.70769220834673,2.81049705452756,4.14156006128688,5.42625425719212,6.25802674861264,9.02311920425743,11.5788989895332,0.287137008217158,0.42203130221413,0.5515700523897,0.635099744567775,0.910894239804826,1.16329531351763,0.0197907307433951,0.029322398105883,0.038617763945453,0.0446856738875354,0.065132134531666,0.0843922336526362,0.306308989603664,0.450005032745757,0.587864340444327,0.676687883042902,0.969537959297831,1.23693039424879
0.575716758827646,0.851839169667528,1.12056809906679,1.29576354019317,1.88535318235694,2.4408080113262,2.12166175291474,3.15090487008579,4.15981521233902,4.82138895993921,7.069815145519,9.21878422345577,2.66346435857681,3.92842153401735,5.15165292106244,5.94492609721315,8.58995024396319,11.0467320368183,0.274414553073811,0.403515112397812,0.527611521437024,0.607698916085553,0.872535220862623,1.11551917460434,0.0182804909812404,0.0271004637348256,0.0357123536271402,0.0413400195251867,0.0603401364819476,0.0782956287065488,0.292100859460326,0.429319939380576,0.561090858057838,0.646061179044054,0.926631680655383,1.18345275276124
0.558100593660008,0.826507979613304,1.08820472868704,1.25907537045227,1.83567433409635,2.38120160260974,1.97209843944342,2.93254028297913,3.87650129518235,4.49686645976021,6.61378211241105,8.6501088838507,2.49737267639602,3.68700008245781,4.83972419358376,5.58855984218409,8.09323615899239,10.4313909662922,0.260177096660968,0.382803472437736,0.50082245179366,0.577067360508664,0.829674146251008,1.0621404505947,0.0165886338084462,0.0246095521123806,0.032452846845203,0.0375847456822029,0.0549516896799958,0.0714269914446106,0.276206056787636,0.406192039830124,0.531169893784025,0.611843577319995,0.878729913227936,1.12377042396342
0.540649591207178,0.801315001894352,1.05588247538649,1.22232564275881,1.78534482461718,2.32001650772592,1.82662432012745,2.71954325732055,3.59933949153008,4.17875092192451,6.16341528425751,8.08393387028639,2.33581443799129,3.45171075913878,4.53509903668059,5.24004715257949,7.60490303782106,9.8228968535927,0.245964750705333,0.362125276405081,0.474071101583014,0.546473733225469,0.7868320630241,1.00872631301073,0.0149193336852491,0.0221502972121002,0.0292326805277625,0.0338731617050456,0.0496174127003641,0.0646158897402742,0.260363275670336,0.383138772564202,0.501342484364706,0.577729651559217,0.830948028597319,1.06418857784542
0.525325016759208,0.779131186005458,1.0273380893545,1.18980511890208,1.74045893461657,2.26495998988221,1.69759537883885,2.53014162699728,3.35223223649765,3.89462076755833,5.75850772075292,7.5713012047973,2.19287344092191,3.24314420388892,4.26454260262509,4.93009337051938,7.16841219414093,9.27600123788791,0.232874561875381,0.343067952793753,0.449400072002884,0.518245722152873,0.747229078222567,0.959244331349879,0.0134207574221605,0.0199410896199979,0.0263379611586387,0.0305351488525503,0.0448120002517456,0.0584692384625356,0.245813080234758,0.361955873821554,0.473920053822113,0.546354005775108,0.786933274911252,1.00920375497795
