Y_pre_c30_v40,Y_pre_c30_v60,Y_pre_c30_v80,Y_pre_70_v40,Y_pre_c70_v60,Y_pre_c70_v80,Y_L_c30_v40,Y_L_c30_v60,Y_L_c30_v80,Y_L_70_v40,Y_L_c70_v60,Y_L_c70_v80,Y_Mix_c30_v40,Y_Mix_c30_v60,Y_Mix_c30_v80,Y_Mix_70_v40,Y_Mix_c70_v60,Y_Mix_c70_v80
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,c30_v40,c30_v60,c30_v80,c70_v40,c70_v60,c70_v80,,,,,,,,,,,
O_pre,742.3714702,501.3139383,380.8048099,768.0567845,527.167796,406.8189243,,,,,,,,,,,
O_L,189.7919473,128.0406196,97.17580453,195.8906696,134.2342401,103.4620205,,,,,,,,,,,
O_mix,152.3506682,103.1967732,78.62983617,158.9137334,109.8478639,85.36749657,,,,,,,,,,,
Y_pre,657.1752062,446.2242507,340.7876849,689.7776999,479.1694317,374.0706822,,,,,,,,,,,
Y_L,9126.066075,6160.498374,4678.44051,9435.110597,6475.998689,5000.383805,,,,,,,,,,,
Y_Mix,613.8756528,416.9378465,318.5080752,644.7990244,448.2063897,350.1176162,,,,,,,,,,,
